,,Andaman and Nicobar Islands,,Andhra Pradesh,,Arunachal Pradesh,,Assam,,Bihar,,Chandigarh,,Chhattisgarh,,Dadra & Nagar Haveli,,Delhi,,Goa,,Gujarat,,Haryana,,Himachal Pradesh,,Jammu and Kashmir,,Jharkhand,,Karnataka,,Kerala,,Ladakh,,Lakshwadeep,,Madhya Pradesh,,Maharashtra,,Manipur,,Meghalaya,,Mizoram,,Nagaland,,Odisha,,Puducherry,,Punjab,,Rajasthan,,Sikkim,,Tamil Nadu,,Telanagana,,Tripura,,Uttar Pradesh,,Uttarakhand,,West Bengal,,Mobile Vans,,Duplicates,,Total,,Changes,
,,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private
,TrueNat,2,0,63,1,13,0,3,13,38,1,0,0,23,3,0,0,3,7,5,1,9,2,3,3,22,0,13,3,25,0,8,10,7,29,0,0,2,0,57,7,19,7,4,2,10,0,10,0,11,0,29,2,0,2,25,4,0,4,1,0,11,28,0,1,2,0,76,41,13,0,40,11,0,0,,,547,182,13,16
,CBNAAT,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,1,0,9,2,12,0,0,0,0,0,1,6,16,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0,1,11,6,3,0,0,2,8,1,0,0,6,0,0,,,34,88,0,0
21/09/2020,RT-PCR,1,0,13,17,1,0,12,1,10,4,3,1,7,2,1,0,17,33,1,0,23,21,15,13,8,0,10,0,7,6,43,66,23,18,3,0,0,0,19,12,58,58,3,1,2,0,1,0,3,0,13,6,3,2,8,6,27,13,1,0,54,70,11,41,2,0,43,19,6,3,24,17,0,0,,,476,430,4,27
,TrueNat,2,0,63,1,13,1,3,17,38,1,0,0,25,3,0,0,3,7,5,1,9,2,3,3,22,0,12,3,25,0,9,10,7,31,0,0,2,0,57,7,20,7,4,2,10,1,10,0,11,0,30,2,0,2,25,5,0,4,1,0,11,28,0,1,2,0,76,44,13,0,41,11,0,0,,,552,194,5,12
,CBNAAT,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,1,0,8,2,13,0,0,0,0,0,1,6,17,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0,1,12,6,3,0,0,2,8,1,0,0,6,0,0,,,34,91,0,3
28/09/2020,RT-PCR,1,0,13,17,1,0,12,1,10,5,3,1,7,2,1,0,18,34,1,0,23,22,15,14,8,0,10,0,7,6,43,70,23,18,3,0,0,0,19,12,59,61,3,1,2,0,1,0,3,0,13,6,3,3,8,6,27,13,1,0,54,79,11,44,2,0,44,19,6,3,24,17,0,0,,,479,454,3,24
,TrueNat,2,0,63,1,13,1,3,17,38,1,0,0,26,4,0,0,4,7,5,1,9,3,3,6,22,0,12,3,25,0,9,10,7,32,0,0,2,0,57,7,21,7,4,3,10,1,10,0,11,0,30,2,1,2,25,5,0,4,1,0,11,29,0,1,2,0,76,45,29,0,43,11,0,0,,,574,203,22,9
,CBNAAT,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,1,0,8,2,13,0,0,0,0,0,1,6,17,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,0,0,0,1,12,6,3,0,0,2,8,1,0,0,6,0,0,,,34,92,0,1
05/10/2020,RT-PCR,1,0,14,21,1,0,12,1,10,5,3,1,7,3,1,0,19,36,1,0,23,23,16,14,8,0,10,0,7,6,43,76,23,19,3,0,0,0,19,12,59,62,3,1,2,0,1,0,3,0,13,6,3,5,9,6,27,14,1,0,54,81,12,47,2,0,44,20,6,4,24,17,0,0,,-2,484,478,5,24
,TrueNat,2,0,63,1,13,1,3,18,38,1,0,0,27,4,0,0,4,7,5,1,15,3,3,6,22,0,12,3,25,0,10,9,8,32,0,0,2,0,58,7,21,7,4,3,10,2,10,0,11,0,30,2,1,1,25,6,0,5,1,0,11,30,0,1,2,0,76,46,29,0,43,11,0,0,,1,584,208,10,5
,CBNAAT,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,1,0,8,2,12,0,0,0,0,0,1,6,17,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,1,0,0,1,12,7,3,0,0,2,9,1,0,0,6,0,0,,1,35,94,1,2
12/10/2020,RT-PCR,1,0,14,24,1,0,12,2,10,6,3,1,7,3,1,0,19,38,1,0,23,23,16,19,8,0,11,0,7,6,43,80,23,23,3,0,0,0,19,12,61,69,3,1,1,0,1,0,3,0,13,7,3,6,9,6,27,14,1,0,54,83,12,48,2,0,44,23,6,4,24,18,0,0,1,-2,487,514,3,36
,TrueNat,2,0,63,1,13,1,3,18,38,1,0,0,28,4,0,0,4,7,5,1,15,3,3,7,22,1,11,3,25,0,12,9,8,31,0,0,2,0,58,7,19,7,4,3,10,2,10,0,11,0,30,2,1,1,25,6,0,5,1,0,11,30,0,1,2,0,76,47,31,0,43,13,0,0,,1,586,212,2,4
,CBNAAT,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,6,0,0,2,6,2,0,0,0,2,0,1,1,0,8,2,12,0,0,0,0,0,1,6,16,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,1,0,0,1,12,7,3,0,0,2,9,1,0,0,6,0,0,,1,35,93,0,-1
19/10/2020,RT-PCR,1,0,15,25,1,0,12,3,10,9,3,1,7,3,1,0,19,38,1,0,23,23,16,19,8,0,11,0,7,6,43,81,23,29,3,0,0,0,19,12,61,73,3,1,3,0,1,0,3,0,13,7,3,6,9,6,27,14,1,0,54,85,12,49,2,0,44,28,6,4,24,18,0,0,,-1,489,539,2,25
,TrueNat,2,0,63,1,15,1,3,20,38,1,0,0,29,4,0,0,4,7,5,1,15,3,3,7,22,1,11,3,25,0,13,10,9,33,0,0,2,0,58,7,19,7,4,4,11,2,10,0,11,0,30,2,1,1,25,6,0,5,1,0,11,31,0,1,2,0,77,45,31,0,43,13,0,0,,,593,216,7,4
,CBNAAT,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,6,0,0,2,7,2,0,0,0,2,0,1,1,0,8,2,12,0,0,0,0,0,1,7,16,0,1,0,1,0,0,0,0,0,0,2,0,2,4,0,1,0,0,1,12,7,3,0,0,2,9,1,0,0,7,0,0,,1,36,95,1,2
26/10/2020,RT-PCR,1,0,15,27,1,0,12,3,10,9,3,1,7,3,1,0,19,40,1,0,23,25,16,19,8,0,11,0,7,6,43,81,24,30,4,0,0,0,19,13,62,76,3,1,3,0,1,0,3,0,13,8,3,6,9,6,28,14,1,0,54,90,12,51,2,0,44,29,8,4,24,18,0,0,4,-1,499,559,10,20
,TrueNat,2,0,63,1,15,2,3,21,38,1,0,0,29,5,0,0,4,8,5,1,14,5,3,7,22,1,11,3,25,0,13,10,10,34,0,0,2,0,58,7,19,6,4,4,11,2,10,0,11,0,30,2,1,1,25,6,0,5,1,0,11,34,0,1,2,0,77,48,33,1,43,13,0,0,,,595,229,2,13
,CBNAAT,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,5,0,0,2,7,2,0,0,0,2,0,1,1,0,8,2,13,0,0,0,0,0,1,7,16,0,1,0,1,0,0,0,0,0,0,2,0,2,5,0,1,0,0,1,11,7,3,0,0,2,9,1,0,0,7,0,0,,1,36,95,0,0
02/11/2020,RT-PCR,1,0,15,30,1,0,12,3,10,9,3,1,7,3,1,0,20,41,1,0,23,26,17,19,8,0,11,0,7,6,44,83,24,34,4,0,0,0,19,13,63,77,3,1,3,0,1,0,3,0,13,8,3,6,9,7,31,14,1,0,54,92,13,55,2,0,44,31,8,4,24,18,0,0,,-1,503,580,4,21
,TrueNat,2,0,63,1,16,2,3,22,38,1,0,0,29,5,0,0,3,8,5,1,14,5,3,7,22,1,11,3,25,0,13,10,10,34,0,0,2,0,58,7,19,7,4,4,12,2,10,0,11,0,30,2,1,1,25,6,0,5,1,0,11,34,0,1,2,0,77,48,33,1,43,14,0,0,,1,596,233,1,4
,CBNAAT,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,5,0,0,2,7,2,0,0,0,2,0,1,1,0,8,2,12,0,0,0,0,0,1,7,16,0,1,0,1,0,0,0,0,0,0,2,0,2,5,0,1,0,0,1,11,6,3,0,0,2,8,1,0,0,8,0,0,,1,35,94,-1,-1
09/11/2020,RT-PCR,1,0,15,32,1,0,12,3,10,10,3,1,7,3,1,0,21,41,1,0,23,26,17,19,8,1,11,0,7,7,44,88,24,34,4,0,0,0,19,13,65,82,3,1,3,0,1,0,3,0,13,9,3,7,9,7,31,15,1,0,54,94,14,60,2,0,44,32,8,4,24,18,0,0,-1,-1,506,606,3,26
,TrueNat,2,0,62,1,16,2,3,23,38,1,4,0,29,6,0,0,3,8,5,1,14,5,3,8,22,1,11,3,25,0,14,10,10,36,0,0,2,0,58,8,19,7,4,4,12,2,10,0,11,0,30,2,1,0,25,6,0,5,1,0,11,36,0,1,2,0,77,48,33,1,43,14,0,0,1,,601,239,5,6
,CBNAAT,2,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,5,0,0,2,7,2,0,0,0,2,0,1,1,0,7,2,12,0,0,0,0,0,1,7,16,0,1,0,1,0,0,0,0,0,0,2,0,2,5,0,1,0,0,1,11,6,3,0,0,2,8,1,0,0,8,0,0,,1,35,93,0,-1
16/11/2020,RT-PCR,1,0,16,33,1,0,12,4,10,11,3,1,7,3,1,0,21,41,1,0,23,27,17,19,8,1,11,0,7,7,44,88,24,35,4,0,0,0,19,13,65,83,3,1,3,0,1,0,3,0,13,9,3,7,9,7,36,15,1,0,54,98,14,60,2,0,44,33,8,4,24,20,0,0,-1,-1,512,619,6,13
,TrueNat,2,0,62,1,20,2,3,23,38,1,4,0,29,6,0,0,3,14,5,1,14,5,3,8,22,1,11,3,25,0,14,10,10,39,0,0,2,0,58,9,19,7,4,5,12,2,10,0,11,0,30,2,1,0,25,6,0,5,1,0,11,37,0,1,2,0,78,47,33,1,43,13,0,0,1,-5,606,244,5,5
,CBNAAT,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,3,5,0,0,2,7,2,0,0,0,2,0,1,1,0,7,3,11,0,0,0,0,0,1,7,16,0,1,0,1,0,0,0,0,0,0,2,0,2,5,0,1,0,0,1,11,6,3,0,0,2,8,1,0,0,8,0,0,1,1,37,91,2,-2
,RT-PCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-512,-619
,TrueNat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-606,-244
,CBNAAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,-91
