,,Andaman and Nicobar Islands,,Andhra Pradesh,,Arunachal Pradesh,,Assam,,Bihar,,Chandigarh,,Chhattisgarh,,Dadra & Nagar Haveli,,Delhi,,Goa,,Gujarat,,Haryana,,Himachal Pradesh,,Jammu and Kashmir,,Jharkhand,,Karnataka,,Kerala,,Ladakh,,Lakshwadeep,,Madhya Pradesh,,Maharashtra,,Manipur,,Meghalaya,,Mizoram,,Nagaland,,Odisha,,Puducherry,,Punjab,,Rajasthan,,Sikkim,,Tamil Nadu,,Telanagana,,Tripura,,Uttar Pradesh,,Uttarakhand,,West Bengal,,Mobile Vans,,Duplicates,,Total,,Changes,
,,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private,Govt,Private
08/06/2020,RT-PCR,1,0,10,5,1,0,10,1,6,1,3,0,4,0,1,0,14,21,1,0,21,13,9,7,6,0,6,0,4,1,28,23,14,6,1,0,0,0,14,6,42,33,2,0,1,0,1,0,1,0,11,3,2,0,3,2,21,3,1,0,44,28,9,15,1,0,23,4,5,1,15,8,0,0,1,-1,337,180,18,11
,TrueNat,1,0,42,0,1,0,0,0,19,0,0,0,1,0,0,0,1,1,4,0,0,1,0,1,0,0,0,0,24,0,10,0,5,0,0,0,0,0,15,1,5,2,0,0,2,0,1,0,5,0,4,0,0,1,5,0,0,0,1,0,0,1,0,1,0,0,34,1,0,0,15,1,0,0,-3,1,192,12,62,3
,CBNAAT,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,2,4,3,0,0,0,1,0,1,0,3,6,1,5,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,4,1,0,0,0,0,3,0,0,2,5,0,0,1,1,24,39,-3,12
15/06/2020,RT-PCR,1,0,11,5,1,0,11,1,6,2,3,0,4,0,1,0,14,22,1,0,22,13,12,7,7,0,6,0,4,1,28,24,15,6,1,0,0,0,15,6,43,33,2,0,1,0,1,0,1,0,11,3,2,0,3,2,21,4,1,0,44,29,9,17,1,0,23,4,6,1,15,9,0,0,,-2,347,187,10,7
,TrueNat,1,0,42,0,1,0,0,1,34,0,0,0,1,0,0,0,1,1,4,0,0,1,0,1,3,0,0,0,24,0,10,0,6,0,0,0,1,0,37,2,8,3,0,0,2,0,1,0,9,0,4,0,0,1,5,0,0,0,1,0,0,1,0,1,0,0,76,1,2,0,17,1,0,0,-3,1,287,15,95,3
,CBNAAT,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,2,4,1,0,0,0,1,0,1,0,3,7,1,6,0,0,0,0,0,0,4,7,0,0,0,1,0,0,0,0,0,2,1,0,1,2,0,0,0,0,1,4,1,0,0,0,0,5,0,0,2,5,0,0,1,1,25,46,1,7
22/06/2020,RT-PCR,1,0,11,5,1,0,11,1,6,2,3,0,4,0,1,0,15,21,1,0,23,14,12,7,7,0,6,0,4,1,31,25,16,7,1,0,0,0,15,6,44,32,2,0,2,0,1,0,1,0,11,3,2,0,3,2,21,4,1,0,45,34,9,17,1,0,23,4,6,1,16,10,0,0,,,357,196,10,9
,TrueNat,1,0,42,0,2,0,0,1,34,0,0,0,1,1,0,0,2,2,4,0,9,0,1,1,3,0,0,0,24,0,10,0,7,3,0,0,3,0,55,2,12,3,0,0,4,0,1,0,11,0,5,0,0,1,15,0,0,0,1,0,0,2,0,1,0,0,76,2,4,0,17,1,0,0,-3,,341,20,54,5
,CBNAAT,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,0,0,2,4,1,0,0,0,2,0,1,0,3,7,1,6,0,0,0,0,0,0,5,8,0,0,0,1,0,0,0,0,0,2,1,0,2,2,0,0,0,0,1,5,1,0,0,0,0,5,0,0,2,5,0,0,1,1,28,50,3,4
29/06/2020,RT-PCR,1,0,11,6,1,0,11,1,6,2,3,0,4,0,1,0,15,23,1,0,22,15,12,7,7,0,6,0,4,1,32,28,16,7,1,0,0,0,15,6,44,33,2,0,2,0,1,0,1,0,11,4,2,0,3,2,23,6,1,0,46,34,9,17,1,0,23,4,6,2,17,10,0,0,1,1,362,209,5,13
