State,16/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021
Maharashtra,18328,18582,30247,52055,52393,74960,99885,99885,136901,136901,179509,220587,261320,269064,269064,310825,318744,354633,389577,434943,473480,473480,512476,536436,573681,608573,649660,682609,682933,713133,740831,781800,839566,860386,922728,926466,985955,1029363,1087111,1142290,1202180,1202180,1202180,1237004,1285081,1368909,1471450,1597458,1744420,1746065,1940369,2089146,2317696,2398401,2653357,2783323,2832150,3097047,3329387,3603424,3804142,4060333,4265512,4278482,4554836,4743837,5014774,5228897,5494759,5726036,5746602,5782665,5993126,6209337,6519976,7027500,7354244,7686921,8127248,8559317,8949560,9338531,9632724,9923534,10192353,10529376,10753947,11125434,11512728,11886859,12139453,12273973,12650266,12945000,13279970,13675149,13999992,14230213,14342716,14906543,15322367,15578162,15871153,16184823,16322336,16342758,16422152,16520873,16781719,17243457,17617719,17858864,17970191,18264212,18648538,18966476,19312943,19469673,19664063,19733314,19833516,19939812,20041648,20465193,20587557,20710911,20760193,21013742,21212433,21352323,21639836,21913849,22220504,22306998,22575481,22832743,23052074,23292259,23668323,24022331,24115999,24411248,24681249,25015546,25266452,25520573,25817728,25909023,26228293,26479757,26719817
Manipur,585,978,111,1454,1454,1923,2319,2319,2485,2485,2855,2855,3399,3987,3987,4373,4739,5872,6095,6874,8256,8334,9989,11078,13747,15944,19563,22417,22895,25771,29038,33525,36735,40019,41926,41926,43597,45401,48232,51177,54965,54965,54965,56458,60396,64089,66423,69755,73414,73494,76829,79030,81412,83002,85654,86691,86691,89878,91730,94382,96405,98913,102179,102358,105281,108093,110782,113040,116224,118168,118222,118291,119573,120838,122535,115544,118645,119351,120672,123203,125612,128096,130961,132204,134396,137679,139978,142931,145490,148635,152135,153124,157711,162117,167554,171785,174263,180379,182546,192280,200765,214237,228344,250314,263802,266790,281266,291900,304066,313874,322187,329805,330011,340961,349288,357683,363556,369007,375983,376445,385155,390059,398536,403249,409948,413717,413741,420920,424161,435917,438999,444132,451009,451203,457918,462278,469763,472537,483126,492242,492351,504388,511460,522482,527352,534944,537380,537827,543603,548155,554090
Meghalaya,509,530,1037,1365,1785,2078,2236,2236,2748,2748,3249,3870,4200,4324,4324,4564,4694,4806,5469,6213,6859,6859,7662,9069,9760,11642,12797,14089,14089,16223,18226,21691,22281,22901,24506,24506,26958,29390,29448,30210,32191,32191,32191,33122,34581,36212,37921,41924,44883,44950,47688,50348,52915,56087,58342,59914,59914,61502,65312,68510,72484,76656,78554,78554,82565,86594,89214,93407,95924,96415,96426,97582,99837,101476,105602,120146,121519,121804,121588,126236,129891,135237,139127,141326,142445,146626,152855,157493,163271,167553,169475,169578,174713,180632,185239,194776,203371,209522,210172,225514,242595,258998,275100,290726,297967,298409,307070,314393,320713,329374,337742,342209,342285,352959,364710,374530,384839,393412,398590,401708,408399,413392,417136,424005,429744,434362,435621,440666,446312,449703,455053,459863,463646,464196,465697,467892,469556,471868,474615,476730,476738,478256,479281,480203,482593,492318,501647,503153,516801,530708,544764
Mizoram,314,554,1091,1508,2537,3657,3979,3979,4852,4852,6142,6728,8497,9346,9346,9932,9932,9995,10044,10555,10937,10937,10937,11046,11046,11046,11332,11568,11754,12557,12557,13561,15115,16634,16868,16868,18801,20805,23674,25831,27656,27656,27656,29513,33466,37386,40058,40975,42197,42197,44090,47161,51087,52866,54231,54787,54787,56692,59344,60063,61026,61619,62247,62247,62833,63607,63939,64550,65731,65731,65731,65848,66312,66666,68024,71868,71987,72030,73566,78364,82170,86987,92678,95229,95857,105078,113106,123060,135583,148073,154038,154183,164833,174379,180829,194136,206191,211142,211237,223439,235159,243917,250446,256096,258922,258815,263585,267429,270992,275179,277305,277860,277860,281200,283991,285547,287535,288343,289095,289115,291000,293620,296897,301219,303174,303177,303172,304924,306426,307157,308591,311401,313380,313451,315240,316259,316758,318196,322280,323518,323519,327704,331452,335037,339575,342846,344044,344044,357294,373076,393720
Nagaland,561,1436,2286,2988,3187,3443,3443,3443,3675,3675,3973,3973,3973,3993,3993,3998,4093,4244,4405,4515,4535,4535,4973,5826,7167,8371,9125,9684,9818,11942,16234,18252,21059,24022,25435,25435,27809,29804,32336,34116,35303,35303,35303,35830,37110,39576,41140,41895,42669,42669,45469,47679,50281,52980,54026,54575,54715,58282,61200,63148,65915,67353,67934,67934,72971,76680,78847,80469,81417,81676,81676,81694,85287,87247,89515,83771,83991,84131,86221,90103,94224,97863,100533,101480,105854,113941,120854,128132,133049,137639,139051,140106,148681,155195,162418,169219,171605,172277,172647,178196,183203,189765,195429,198814,199986,200268,205169,209616,213112,215703,217847,218088,218536,222357,225776,228084,231203,232382,232734,232994,237058,242456,244547,246656,247220,247322,247495,253363,259660,260696,261471,262221,262475,262558,268912,274949,277116,279779,281636,281846,282432,291582,301471,312156,320251,329294,332806,336052,349534,361657,372959
Odisha,13746,46506,55138,68743,113623,130007,152371,152371,177090,177090,178227,194058,205200,206424,206424,207462,208205,211346,234923,235680,275055,276323,315725,342254,361623,383023,399670,411939,412046,426790,428471,439390,482613,501713,533093,533093,566142,577646,584948,612802,618821,618821,618821,640735,668498,696758,754651,778730,822112,822112,907996,971925,1016936,1020207,1098111,1162949,1162949,1284521,1384942,1471316,1581336,1688682,1784847,1784847,1881914,1960727,2022037,2095217,2167956,2236623,2236623,2236623,2326922,2411021,2614183,2699452,2823310,3119381,3287050,3508480,3617561,3769153,3956246,4091351,4214184,4356095,4444241,4527911,4685831,4795020,4865265,4930367,5072765,5194381,5306252,5399333,5509857,5527072,5530174,5618057,5694155,5743455,5779022,5857731,5872738,5874407,5916461,5944620,5967765,6017415,6094247,6159998,6166695,6292663,6392592,6448624,6497240,6542754,6577633,6579069,6639176,6744998,6819638,6964278,7014521,7099802,7116029,7228138,7325330,7375678,7477645,7602197,7706869,7725803,7856021,7960089,8032250,8108356,8198300,8277459,8290523,8455149,8603535,8744175,8799028,8895992,8965839,8975062,9052810,9172995,9330274
Puducherry,274,554,719,759,759,1097,1478,1478,1813,1813,1813,1813,2299,2736,2736,2988,3077,3222,3222,3532,3532,3532,3881,4301,4770,4780,5510,6024,6024,6513,6957,7354,8115,9126,10104,10104,10337,10450,10459,10479,11144,11144,11144,11766,12589,14845,16562,17501,18847,18847,20618,22078,24007,25558,27331,29319,29319,31864,34565,37769,41660,44421,48565,48565,52198,55132,60041,62839,65578,67980,67980,70124,70258,74165,76570,77771,81457,83053,85421,86099,87581,90099,93096,96737,103546,114551,129271,138153,148389,157494,163766,165647,168672,170810,173769,176558,179519,181719,182302,185167,187823,190734,193884,197790,199906,200026,202468,204352,206992,209894,212857,215447,215935,219254,221604,223561,226096,228342,230803,231405,232512,233427,234416,239864,242180,244581,246032,248835,251379,254136,256963,260161,263441,265588,269177,272489,275845,279178,282004,286309,288831,294131,299870,305420,311510,317196,324318,326786,333854,339438,352743
Punjab,1319,3318,5567,7607,12532,21340,30319,31327,39418,39418,44708,50977,54988,57499,57499,59285,61381,63663,67861,72855,76430,76430,82127,87181,91669,97668,101861,103858,103858,107854,111952,115282,121774,129470,136288,136796,148066,157585,166693,181892,190800,190800,190800,200044,209370,221415,235698,252855,266977,268445,288104,307545,324667,330945,350687,368130,368464,395006,418671,441390,469506,504116,536408,546252,578459,609246,636820,666395,695676,729130,742627,754354,792329,842448,920846,1090090,1170962,1252548,1328236,1416310,1478280,1571245,1672868,1769971,1845259,1938988,2002937,2080678,2166051,2261624,2352518,2418132,2508073,2595020,2658091,2715479,2812254,2925001,2995367,3086085,3131631,3211821,3294001,3394738,3477671,3498523,3532229,3551466,3627732,3705260,3773290,3836530,3873669,3947071,4023731,4072687,4108184,4125085,4142347,4148231,4157025,4164782,4185845,4519318,4592335,4691082,4751745,4812094,4853015,4890425,4918114,4936818,4978620,5009627,5044669,5078254,5111065,5146083,5201174,5257951,5294105,5339134,5399644,5431675,5458124,5513986,5609454,5697767,5747484,5802605,5880567
Rajasthan,9279,23546,30761,32379,32379,43947,67270,93525,161116,161332,237137,257833,324973,329611,330797,333930,339218,363521,384810,414422,459652,460994,487848,491543,559990,590990,606694,609568,610088,627710,637021,760075,762913,799719,821059,821059,844893,878043,931222,950386,1023207,1023207,1023207,1109553,1261773,1490232,1609343,1891118,2131443,2136249,2326975,2387797,2510918,2511418,2698263,2894730,2898900,3105252,3347703,3684843,3738737,4047196,4274213,4288901,4541540,4752984,4994574,5057509,5307621,5484184,5484184,5484184,5582172,5721312,6005903,6151585,6431601,6868626,7299305,7815333,8287840,8807351,9245238,9565308,9716352,9925581,10080932,10224579,10360331,10523372,10698771,10884806,11192119,11451137,11650301,11836328,12010244,12207892,12347953,12543221,12659815,12812973,12936911,13022322,13092779,13173426,13338393,13474448,13597367,13700772,13841990,14019524,14104257,14288032,14524097,14691987,14798914,14852400,14991425,15106597,15269713,15398802,15478846,15708235,15816456,15940593,16033767,16183750,16283420,16364179,16426346,16553027,16757346,16861567,17013350,17118582,17231186,17331633,17479393,17644680,17721558,17843791,18004932,18476955,18822045,19278428,19589132,19702073,19888081,19981201,20032144
Sikkim,120,120,350,573,773,960,960,960,1047,1047,1320,1776,2020,2020,2020,2166,2647,3425,4264,5139,5372,5372,6007,6961,7808,8316,8335,8335,8335,8543,9148,9760,10500,11800,12565,12565,14159,15694,16931,17858,18312,18312,18312,19398,20430,21918,24030,26993,28862,28862,32491,35709,39650,43489,46273,46529,46529,49518,51663,54299,57215,59689,61265,61265,63671,66768,68762,70523,72309,72309,72309,72309,73286,73741,77892,79904,80654,80856,83797,90511,95185,104473,112414,115201,117171,126124,135661,141777,148555,155296,160123,161058,166609,171142,172465,177160,182621,185449,185895,189953,193834,196919,200586,203966,205129,204990,207514,209932,212161,214717,217439,218186,218350,220181,221311,221956,223712,224387,224483,224846,225580,226311,227796,230968,232705,234290,234291,235581,236857,237947,238697,238769,238832,238832,238924,238984,239115,239296,239487,239567,239718,239974,240645,244282,252272,264894,273460,273492,286482,302308,317272
Tamil Nadu,2945,16462,25251,33670,42947,51651,59226,61720,69027,73953,82039,88467,97126,105821,105821,112687,120745,133434,145928,157324,166408,166408,175027,185577,197392,211762,227542,247574,247574,269219,290248,309377,329817,350283,370846,370846,385600,400400,414827,429255,445328,445328,445328,480411,522054,588391,669417,761625,847097,847097,957348,1037824,1124724,1205185,1298251,1384184,1384184,1499745,1606931,1718313,1840069,1964650,2086121,2086121,2238755,2343912,2438253,2537202,2645814,2751628,2751628,2871513,2952311,3031631,3114623,3101478,3151678,3186597,3205778,3239421,3292109,3402198,3533869,3666549,3715293,3881778,4021060,4110452,4323754,4532483,4670781,4711901,4814662,4892488,4965949,5076978,5206836,5328811,5351384,5484633,5626091,5741587,5845888,5947800,6045628,6046284,6123161,6188845,6249242,6336452,6422679,6480287,6499349,6587081,6661775,6738923,6822834,6873590,6928329,6941944,6995480,7040699,7082380,7280700,7321955,7371998,7390862,7473489,7650500,7914277,8208995,8519483,8796133,8891549,9094255,9235652,9339816,9619198,9868998,10006936,10056376,10119582,10167260,10218925,10260805,10325285,10629239,10842928,11131780,11264069,11617077
Telangana,3653,17408,69405,69405,97087,110031,110031,110031,130390,130425,130425,151246,166606,168606,168606,168771,170043,176732,188279,193667,209104,209104,229027,243665,258122,270615,278250,282188,282188,293442,332847,333235,353113,366328,368132,368132,387301,387549,389970,398078,419791,419791,419791,424274,435329,450803,472010,486049,510904,510904,556978,594178,623634,623634,623634,647167,675916,715586,742019,779915,832084,873635,895346,895346,924491,1010596,1050167,1088309,1128632,1170407,1175476,1175476,1262125,1295814,1358395,1394119,1446502,1485476,1554772,1617774,1685242,1783357,1898374,2060865,2161735,2292129,2318292,2452956,2622516,2802424,2952910,2960305,3132747,3272989,3395125,3606921,3812192,4004625,4071623,4287852,4400436,4543288,4613191,4781228,4788950,4787533,4814401,4878695,4956957,5037803,5117048,5187863,5189389,5282970,5361854,5388357,5419430,5447541,5447805,5447805,5448463,5450423,5453386,5522361,5523114,5526061,5526985,5529827,5588684,5652269,5702844,5803355,5913086,5979083,6058833,6142054,6214443,6313719,6417283,6562651,6680307,6849610,7021177,7209848,7386484,7594358,7805400,7954551,8148624,8311800,8487288
Tripura,355,1736,3734,3734,9272,14252,14252,14252,19698,19698,19698,24302,27617,29796,29796,31190,32196,32340,35191,37359,40347,40405,45674,51449,52908,59438,65288,69562,69562,75305,75415,77926,85796,92176,93956,93956,99320,102138,102752,108014,110978,110978,110978,113770,117869,119631,125814,132681,135221,135221,144674,152946,154910,156732,169109,172977,173490,194300,213483,223650,254032,287600,316751,321731,374423,416118,483997,553795,643117,651930,658047,658047,687224,697346,719751,709385,721108,730512,746306,759840,767029,785861,803168,812288,819107,832935,842397,845229,845296,862658,880367,886131,910346,934015,941698,953744,985264,1012251,1020935,1067301,1113957,1140674,1190622,1237738,1261437,1267062,1282367,1301258,1319613,1347904,1375527,1393657,1395621,1416114,1432084,1435306,1442279,1443431,1445632,1446176,1454040,1474542,1483136,1527207,1534452,1550818,1553567,1559837,1565078,1567456,1570207,1574596,1588215,1602018,1610723,1614970,1618367,1624554,1631250,1635458,1636472,1640491,1643993,1646212,1649707,1652056,1659454,1660575,1681314,1704960,1734765
Uttar Pradesh,21291,22644,22644,22644,22644,123761,123761,123761,123761,123761,123761,294959,463793,463793,463793,463793,463793,463793,589101,673542,673542,673542,673542,673542,673542,763421,858602,858602,858602,934962,934962,934962,1070895,1152042,1152042,1152042,1226775,1226775,1226775,1370739,1480983,1480983,1480983,1488421,1488421,1488421,1592712,1701661,1711715,1711715,1918329,1935522,1956508,1959312,2289466,2314913,2320154,2966734,3143272,3246323,3668945,4008560,4126506,4132135,4533871,4653705,4756799,5022608,5240969,5303442,5303530,5303530,5328419,5398684,5697787,6428073,6643096,6761287,7198372,7641485,7847622,8145161,8397204,8493959,8825419,9359564,9719899,10028839,10273996,10538702,10712739,10718375,10909765,11120780,11259746,11441728,11623695,11777209,11783880,11947728,12061303,12169510,12355555,12559034,12720794,12705514,12865305,13024883,13175325,13330583,13470982,13593961,13595851,13760662,13936210,14141536,14393696,14568875,14764942,14766904,14997832,15207651,15389991,15813654,16028675,16241703,16255150,16543234,16816336,17074158,17355300,17667888,17992599,18008604,18332316,18679320,19034656,19431152,19838197,20234598,20254000,20711683,21150258,21565323,21999548,22468959,22935815,22956010,23412988,23829486,24203020
Uttarakhand,2276,4237,6107,6119,8206,10514,10514,10514,14546,14546,14690,19517,25818,28791,31228,37505,43430,54153,62858,70292,73762,74607,79283,85359,90483,97618,104052,108974,110326,116702,121726,126719,130700,135452,138054,138550,143318,147300,151002,154994,161786,161786,161786,165512,174562,185793,206358,225030,242892,243782,266326,289273,304698,307971,337620,355592,357156,387734,418468,437067,468393,500024,517251,519927,549601,576935,595970,624095,649500,665684,665821,665821,683007,698899,739961,826674,870905,916548,985663,1061735,1114026,1182912,1243782,1283673,1308881,1362066,1403195,1432077,1466970,1519067,1565437,1568172,1628191,1678639,1715839,1767551,1810381,1850805,1867987,1918491,1951517,1990231,2033587,2076143,2096753,2101879,2111065,2139623,2182985,2241465,2287995,2326309,2347663,2412802,2474738,2507892,2538983,2572547,2603720,2621366,2650123,2673296,2685584,2743665,2758608,2772366,2783379,2807288,2829073,2837799,2856866,2874730,2890859,2901074,2918548,2932050,2944247,2962144,2987636,3024940,3049382,3083813,3117527,3155806,3206521,3249727,3284586,3319176,3376118,3418028,3443390
West Bengal,9730,29866,42093,46310,53988,84505,84505,84505,122851,122851,158193,187485,221994,243069,243143,266407,288245,301091,320668,344227,354000,354000,377608,404001,427042,453303,485054,515117,516952,555120,556450,573746,607535,650976,683057,689164,743590,801677,886491,993106,1106181,1106181,1106181,1124158,1192882,1279958,1376553,1487060,1580799,1591868,1730022,1889064,2025599,2092262,2291486,2421424,2435983,2688755,2886955,3017035,3149350,3482448,3630910,3649705,3941280,4125209,4250140,4372367,4688172,4865445,4866734,4888625,5091103,5230166,5419269,5772282,5958488,6112805,6541370,6873489,7055520,7312694,7674634,7891650,7982640,8226026,8345753,8443337,8468838,8609305,8740073,8764173,8976743,9211156,9396277,9558932,9780926,9938711,9969252,10230498,10438235,10632087,10782136,10972478,11064671,11066286,11243084,11385336,11475371,11559879,11785949,11891417,11901323,12035340,12146487,12313816,12457568,12501020,12561156,12566596,12628179,12690836,12753948,12932811,13003962,13086547,13143523,13333117,13486207,13554226,13728312,13989487,14267305,14408596,14714531,14964714,15181356,15426928,15720570,16023947,16141463,16443386,16704034,16934231,17130501,17369605,17583760,17640004,17854448,18102766,18225116
Miscellaneous,0,14017,14017,26940,32297,36926,40144,40284,43625,43675,46325,48401,50078,52120,52120,54019,55606,57212,58406,60507,62057,62057,63510,67238,74366,84999,99509,115272,116448,136322,165375,205300,249012,291760,338147,341572,392177,454293,508454,564478,625744,684463,684463,757658,853064,941959,1025520,1106180,1172192,1177622,1228341,1272081,1305958,1336715,1361478,1395616,1396722,1438216,1484329,1527272,1572813,1622433,1668431,1668431,1726359,1797373,1858614,1912902,1966822,2023445,2067025,2069273,2085412,2185050,2267042,2274826,2337810,2340349,2417777,2406849,2478101,2556905,2607287,2641449,2643431,2675872,2705795,2708299,2736823,2767519,2792386,2793580,2815918,2840338,2842796,2867731,2889990,2903866,2905509,2921474,2937817,2952594,2965505,2977792,2989342,2990130,3001735,3015080,3029185,3041142,3052658,3060935,3061184,3070084,3080695,3089464,3096814,3096814,3096814,3103869,3111311,3119614,3126365,3132593,3139705,3145020,3145196,3151115,3159373,3160404,3167385,3173856,3173856,3173856,3183335,3183335,3190988,3196048,3199470,3202595,3202998,3205863,3205863,3209246,3212577,3216175,3219523,3220630,3224404,3228151,3228151
Total,191181,454049,630417,806484,1043534,1390592,1582201,1615504,2023809,2029480,2355979,2928053,3500027,3744334,3758843,3950156,4138918,4449552,4959445,5416849,5775322,5812362,6259008,6611561,7017114,7505010,7967647,8263858,8285295,8720822,8999230,9422228,10188007,10715204,11085173,11116854,11745552,12165598,12671163,13472643,14242547,14301266,14301266,14854136,15620749,16616048,18005503,19497704,20922344,20989010,23008733,24367906,25685011,26164920,28218457,29738409,29908038,32947432,35064536,37143255,39339817,42063392,44603841,45065998,48494594,50841286,53145709,55504440,58109773,60269782,60530435,61113354,63054353,65117896,68789138,73054295,75979651,79105163,83110926,87077474,90198673,94334262,98075160,101595147,104528565,108533085,111179578,114493238,117223509,119937641,122622590,123852566,127129113,130119310,132330644,135478420,138379832,140916417,141911223,145271186,147827367,150020648,152245179,154989635,156816031,157198207,158932921,160494188,162513339,164973058,167346544,169439663,170176603,172710066,175235991,177214256,179298584,180457579,182220164,182926460,184453149,185809302,187009792,191879503,193372819,195004184,196051962,198538999,200662456,202695874,205720660,208902445,212066614,213154129,216046638,218546667,221043693,224109448,227860317,231322417,232786482,236198726,239058360,242726693,246085649,249600304,253195048,254849301,259044072,261972014,265519251
