State,16/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021,25/04/2021,26/04/2021,27/04/2021,28/04/2021,29/04/2021,30/04/2021,01/05/2021,02/05/2021,03/05/2021,04/05/2021,05/05/2021,06/05/2021,07/05/2021,08/05/2021,09/05/2021,10/05/2021,11/05/2021,12/05/2021,13/05/2021,14/05/2021,15/05/2021,16/05/2021,17/05/2021,18/05/2021,19/05/2021,20/05/2021,21/05/2021,22/05/2021,23/05/2021,24/05/2021,25/05/2021,26/05/2021,27/05/2021,28/05/2021,29/05/2021,30/05/2021,31/05/2021,01/06/2021,02/06/2021,03/06/2021,04/06/2021,05/06/2021,06/06/2021,07/06/2021,08/06/2021,09/06/2021,10/06/2021,11/06/2021,12/06/2021,13/06/2021,14/06/2021,15/06/2021,16/06/2021
Gujarat,10787,10787,17581,21832,34865,46150,78466,78466,91927,91927,94524,162616,221675,246054,247891,256097,287852,311251,348183,394416,438573,451002,505960,572412,614530,645439,667073,680326,683903,699352,711437,717244,839199,856657,882070,883118,897666,905054,910683,958094,1001170,1001170,1001170,1070108,1171503,1229465,1421761,1605119,1764981,1765707,1953148,2117257,2162924,2173745,2347875,2485153,2496697,2656703,2812023,2853958,3051001,3271968,3514661,3721583,3950792,4186828,4381814,4638762,4908715,5158430,5250880,5262906,5482050,5700174,6165176,6578274,6923008,7390435,7689507,8017741,8147689,8475305,8774240,9056842,9260284,9498866,9705299,9867541,10028842,10165603,10337448,10451246,10620832,10807438,10938424,11099586,11266494,11436779,11538363,11721269,11901842,12054863,12252678,12458508,12749030,12802651,12950608,13070486,13231478,13420247,13606684,13786185,13925616,14160135,14435678,14575629,14760705,14799737,14832722,14863551,14863857,14864182,14865594,15176798,15278138,15400783,15515181,15702276,15897863,16087126,16285302,16503125,16719359,16900663,17103787,17299526,17471742,17659698,17924919,18186042,18409862,18664245,18922357,19188514,19459282,19744678,20038418,20270296,20567167,20830209,21081289
Haryana,5589,17642,24944,30402,45893,62142,71297,72204,105419,105419,109782,115968,123935,125898,125977,126759,127893,129866,133637,137706,139068,139129,169055,180663,183529,190390,194124,196333,196352,204984,205871,209684,220266,226709,232295,232295,255613,268853,271497,289033,293824,293824,293824,299672,308375,314562,333415,353760,364996,365652,398307,432755,451769,461696,501916,520425,522363,681427,748896,763095,831953,892897,907478,908001,1157363,1200479,1213650,1261799,1302677,1318185,1319400,1319400,1482699,1591599,1701800,1714570,1758592,1804230,1913936,2002989,2036392,2119853,2212582,2283954,2382673,2526694,2658779,2805840,2875265,2957810,3022952,3066316,3163013,3242458,3287861,3345415,3430557,3503456,3539926,3595088,3635311,3676169,3723570,3758515,3779724,3796842,3854442,3924560,3984064,4086674,4189607,4266748,4318037,4436031,4542095,4609079,4700161,4760544,4812859,4856328,4918803,4982890,5035931,5198191,5283161,5351239,5389899,5486213,5556368,5609362,5683416,5749720,5803459,5830336,5887571,5954053,6026239,6101593,6161524,6217740,6239057,6292607,6339241,6426960,6549595,6651813,6735642,6769726,6863540,6937134,7002808
Himachal Pradesh,1517,4817,5049,5094,5790,9609,13544,13544,13544,13544,14054,18848,22918,27734,27734,33434,39570,43926,48360,51555,54573,54573,58031,61271,66101,72191,79166,81957,81957,84294,87132,91805,158939,164024,106973,107197,108690,110279,111699,117764,122428,122428,122428,128093,134004,140098,149904,159871,167981,170453,179244,203367,213581,214288,236593,243459,245092,258290,295678,305825,334837,356081,366502,367998,377766,400742,413195,452090,473658,493737,493737,494695,522818,532053,577581,595692,614864,633532,670976,737077,778402,841809,891278,942832,983910,1051232,1111867,1157929,1192543,1241589,1278089,1289500,1328663,1378686,1400847,1451370,1497954,1537524,1548489,1593316,1644503,1689860,1743167,1793402,1823976,1828953,1870302,1913334,1945930,1989691,2018702,2037743,2043705,2072295,2095924,2110484,2139633,2153635,2177507,2180999,2204149,2225571,2241263,2303829,2322654,2334213,2336426,2358006,2376358,2383578,2405067,2419014,2429729,2431057,2456127,2470982,2482605,2493942,2509515,2523018,2524262,2536244,2549011,2557793,2566114,2576290,2587433,2587593,2614501,2658650,2698895
Jammu and Kashmir,2044,3375,4395,4414,6847,9827,11647,11647,16173,16173,16331,22401,26634,26634,26634,26634,26634,26634,34475,41624,49419,49419,61035,74219,74219,93570,111470,129629,129629,147449,162266,162266,181551,195122,207426,207426,219859,228195,228195,243885,257072,257072,257072,268556,280141,280141,299418,318648,339224,339224,364801,392481,392369,393368,393819,436651,436651,478419,520296,520495,563379,583521,599915,599915,636258,661497,661497,697295,726236,751622,751622,777848,803824,803824,845825,889734,922562,951366,981646,1047649,1095745,1177901,1240780,1286563,1322368,1390936,1420799,1452764,1500693,1544674,1589252,1622150,1688397,1753277,1801471,1856995,1925016,1997841,2043786,2127064,2187530,2256800,2311437,2348263,2378556,2415454,2464052,2497828,2550299,2596453,2652507,2692880,2703781,2732139,2759121,2770540,2775752,2791232,2807115,2815552,2830018,2842988,2850676,2905270,2918707,2954451,2973377,3010142,3046666,3094621,3154798,3204133,3242210,3264802,3300411,3333161,3366141,3398095,3428579,3459399,3473893,3498380,3524090,3547946,3579994,3613037,3646922,3676105,3730965,3779537,3815049
Jharkhand,3096,6059,8824,11641,11641,14806,14806,14806,18413,18413,24020,24315,33119,40726,40860,48057,55671,67970,75205,85580,95934,106577,124505,143401,160492,174080,188095,200881,208391,221747,229413,240212,247447,256735,263959,266015,274733,282134,289872,299779,308208,308208,308208,316296,327579,344920,361482,382065,400122,406256,429593,454795,473087,489014,520034,546459,564641,597920,642316,680682,712901,732932,873188,1025942,1065437,1226703,1343628,1384075,1447288,1556332,1563421,1563852,1574368,1596433,1622995,1746722,1772016,1868402,1951497,2006269,2080318,2135148,2162629,2261611,2360166,2429885,2506678,2596645,2641246,2682040,2734217,2775433,2807893,2849025,2877574,2902019,2935512,2965175,2977859,3005467,3029162,3053169,3083133,3114124,3139573,3146822,3164312,3182602,3205030,3224368,3245635,3269710,3285308,3313930,3345583,3372051,3394495,3443220,3501805,3544955,3599695,3650981,3701127,3790724,3839139,3876194,3922027,3972620,4012269,4036657,4052889,4084458,4124252,4155009,4193433,4226248,4263838,4305504,4377071,4467416,4545540,4607189,4666515,4729484,4798134,4891713,4991249,5097806,5195483,5267421,5340545
Karnataka,13594,66392,80686,121466,138807,184699,188971,191449,231172,231607,267811,286089,307891,315370,315370,316228,316368,316638,330112,360592,386186,388769,415403,441692,464485,477005,491552,496159,496234,512476,534058,565093,582691,629420,654298,655375,693964,727360,765669,789208,818722,818722,818722,823660,836350,857102,879036,909602,939498,939926,1013195,1071038,1163844,1183958,1300162,1357062,1373224,1559531,1676300,1927246,2026227,2284199,2481149,2502109,2730456,2846344,3029544,3123952,3285829,3400617,3416179,3552038,3669473,3811007,3946936,4298094,4488656,4608184,4823777,4997921,5230642,5463774,5789180,6067099,6209024,6407325,6446477,6550424,6705031,6910399,7192628,7296771,7543325,7768994,7958245,8191052,8446922,8592858,8673594,8892708,9088473,9277544,9400389,9643472,9782183,9817397,9892349,9948331,10111482,10252400,10366532,10487851,10526921,10630738,10791698,10905119,10994304,11065841,11169445,11191709,11280271,11361234,11443180,11799162,11902271,12014015,12088649,12243473,12389189,12589837,12821613,13089717,13342546,13433278,13677578,13898558,14141929,14402943,14725429,15051909,15183904,15478337,15726831,15978605,16228253,16550353,16852198,16955711,17243110,17450996,17652765
Kerala,8062,15477,23855,24269,35173,47293,53529,53529,71973,71973,82970,106583,135835,158687,165171,193925,224846,246043,270992,286132,291852,292342,307998,322016,326246,333560,345197,356322,358575,370937,388256,395187,410849,425053,437893,438113,461929,476808,493269,530474,587311,587311,587311,625123,662713,701514,810847,902858,1003309,1020994,1129691,1233572,1289216,1346252,1469270,1541348,1548683,1689366,1836215,1891431,2042372,2179337,2297176,2303253,2432273,2558544,2618851,2772545,2904945,3019646,3031610,3181620,3339861,3401918,3490134,3720447,3850005,3884224,4030982,4059464,4149413,4356951,4575600,4763853,4830669,5098184,5267532,5287484,5497016,5681972,5832553,5870232,6026805,6243833,6353754,6504117,6628413,6827750,6847062,6991400,7107072,7144122,7229229,7377186,7428920,7426164,7508437,7572175,7594821,7695877,7854050,7933903,7934469,8042237,8112866,8155236,8181551,8226138,8382368,8415457,8482948,8535933,8553198,8597282,8612681,8641908,8647923,8701163,8756649,8787307,8900924,9046159,9205023,9230736,9402736,9571704,9676157,9840358,10015875,10203409,10256774,10458971,10676563,10819330,10969126,11087636,11164895,11212878,11406207,11616342,11725448
Ladakh,79,119,119,240,240,401,558,558,670,670,818,818,989,1128,1128,1234,1234,1511,1511,1745,1987,1987,2234,2309,2536,2761,2854,2981,2981,2981,3649,4146,4726,5363,6231,6427,7220,7979,8947,9501,10055,10055,10055,10055,10055,10478,12884,14499,16734,16734,19308,22232,25438,28431,31047,33650,34140,36717,38532,39946,41143,42204,43249,43283,44270,44882,45161,45347,45559,45692,45692,45692,45812,46010,50322,56108,59917,62607,65874,68062,70021,71259,71960,72431,73397,74608,75319,75905,76472,76968,77819,77857,80595,84637,88453,91310,94316,96539,96956,100904,103717,105915,107405,108513,109478,109694,111013,112784,115057,117110,118081,119276,119409,120549,121217,121926,122440,122440,123520,123520,124376,125366,126593,128352,130462,132061,132133,134062,136287,138443,144383,150089,154112,154132,159537,164195,167974,171421,174988,177660,177664,180253,181695,183442,185982,189130,191051,191052,192420,193318,194480
Lakshadweep,21,201,369,369,369,552,633,633,676,676,746,746,746,807,807,807,807,807,807,831,839,839,868,920,920,920,1776,1776,1776,1776,1924,1924,1924,1924,1924,1924,2924,2964,2983,3041,3078,3078,3078,3212,3216,3216,3216,3300,3470,3470,3638,3968,3968,3968,3968,5093,5093,5508,5508,5791,6029,6109,6197,6197,6293,6396,6463,6490,6576,6800,6800,6800,6959,6959,7220,7521,7789,8089,8196,9052,9719,10737,11686,12703,13284,13796,14571,15308,16144,16586,17251,18224,18482,19011,19786,20206,20547,21081,21299,21755,21965,22157,22650,23140,23455,23686,23959,24303,24676,24946,25267,25455,25765,26191,26700,26967,27039,27040,27056,27082,27215,27478,27709,29058,29498,29977,31133,31277,31318,31380,31425,31666,32181,32848,33673,34605,35316,36333,37327,38271,39045,40273,41553,42751,43542,44750,46160,46759,47956,48873,49861
Madhya Pradesh,9219,18174,18174,27770,38278,38278,38278,38278,67083,67083,131679,195187,246181,298376,298376,298376,298376,330722,339386,340625,342016,342016,379251,380285,431702,487271,526095,557105,557105,575728,576610,597537,611640,626391,644583,644583,675401,676960,724350,780465,811316,811316,811316,855097,855097,926206,998891,1009607,1092767,1092767,1176332,1182631,1287974,1287974,1294814,1465605,1465605,1655867,1663861,1866138,1866138,1870756,2228256,2228256,2662634,2666064,2932338,3074924,3078673,3188497,3188497,3188497,3191792,3356666,3735986,3903340,4083671,4227270,4463488,4671069,4973398,5234644,5362159,5465121,5839231,6247108,6561386,6890145,7058738,7115737,7305314,7329901,7507451,7542949,7566383,7738469,7774348,7895592,7908665,7991717,8010424,8071748,8076994,8079528,8151801,8154921,8222982,8242734,8357417,8462476,8479263,8595188,8596943,8714234,8732038,8859010,8963028,8964972,9082835,9083720,9174032,9180020,9318551,9533515,9631098,9775817,9950799,10168575,10175220,10177398,10407154,10629771,10880002,10896991,11167304,11185376,11476780,11851060,12213655,12623673,12752363,13142438,13206801,13578548,13760927,13787486,13885323,13929901,14431517,14481624,14821925
