Updated On,State,Total Doses Administered,Sessions, Sites ,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered), Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),AEFI,18-44 Years (Doses Administered),45-60 Years (Doses Administered),60+ Years (Doses Administered),18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
20/03/2021,Delhi,1002671,64800,548,810104,192567,516701,293229,174,215262,787409,,622,,,,255046,253617,301322,,,,810104
21/03/2021,Delhi,1004072,900,8,811261,192811,517351,293736,174,215631,788441,,624,,,,255275,254002,301865,,,,811261
22/03/2021,Delhi,1046767,71300,591,839942,206825,533079,306685,178,227593,819174,,632,,,,257457,259762,322600,,,,839942
23/03/2021,Delhi,1090763,80200,669,871370,219393,550333,320853,184,240728,850035,,639,,,,260931,267059,343248,,,,871370
24/03/2021,Delhi,1115802,56425,429,889115,226687,560185,328745,185,247730,868072,,648,,,,263219,270951,354812,,,,889115
25/03/2021,Delhi,1158650,84625,700,923806,234844,579493,344123,190,261334,897316,,650,,,,266322,278121,379227,,,,923806
26/03/2021,Delhi,1180586,57955,433,941076,239510,589085,351798,193,267273,913313,,653,,,,268796,281983,390159,,,,941076
27/03/2021,Delhi,1222108,87250,721,977993,244115,608614,369184,195,280988,941120,,660,,,,272127,290857,414867,,,,977993
28/03/2021,Delhi,1222713,9400,91,978569,244144,608920,369454,195,281159,941554,,660,,,,272177,291017,415233,,,,978569
29/03/2021,Delhi,1222719,12400,112,978572,244147,608913,369464,195,281150,941569,,660,,,,272170,291019,415241,,,,978572
30/03/2021,Delhi,1265239,89375,727,1013442,251797,627800,385438,204,295739,969500,,661,,,,274791,298838,439669,,,,1013442
31/03/2021,Delhi,1294057,61050,445,1034327,259730,639330,394788,209,304874,989183,,663,,,,277349,303641,453187,,,,1034327
01/04/2021,Delhi,1355145,93500,745,1087850,267295,667341,420294,215,325561,1029584,,675,,,,279422,336530,471743,,,,1087850
02/04/2021,Delhi,1427069,84600,676,1152888,274181,702254,450407,227,351251,1075818,,685,,,,282359,379009,491359,,,,1152888
03/04/2021,Delhi,1493167,95600,743,1211419,281748,734068,477117,234,373679,1119488,,687,,,,284791,417320,509140,,,,1211419
04/04/2021,Delhi,1578252,92900,735,1290748,287504,777740,512765,243,404762,1173490,,696,,,,286470,472313,531797,,,,1290748
05/04/2021,Delhi,1649227,97350,787,1352825,296402,811003,541572,250,429497,1219730,,703,,,,286882,512970,552804,,,,1352825
06/04/2021,Delhi,1698781,101850,797,1396046,302735,833942,561844,260,447796,1250985,,707,,,,287187,541742,566947,,,,1396046
07/04/2021,Delhi,1784983,66300,480,1469113,315870,873038,595813,262,477505,1307478,,716,,,,287834,590533,590572,,,,1469113
08/04/2021,Delhi,1897519,102100,809,1565572,331947,923456,641838,278,515071,1382448,,724,,,,288370,653853,623173,,,,1565572
09/04/2021,Delhi,1956686,68250,483,1613146,343540,948404,664454,288,532226,1424460,,731,,,,289149,686491,637324,,,,1613146
10/04/2021,Delhi,2062691,105320,803,1705350,357341,995965,709088,297,570732,1491959,,740,,,,290244,750137,664785,,,,1705350
11/04/2021,Delhi,2145719,100310,785,1780609,365110,1037794,742505,310,602240,1543479,,751,,,,290843,804360,685221,,,,1780609
12/04/2021,Delhi,2235902,105250,835,1855493,380409,1079935,775235,323,635229,1600673,,758,,,,292180,855483,707642,,,,1855493
13/04/2021,Delhi,2304883,105650,835,1912002,392881,1115142,796535,325,661547,1643336,,762,,,,293884,894496,723433,,,,1912002
14/04/2021,Delhi,2376987,104650,827,1971274,405713,1149522,821419,333,688050,1688937,,766,,,,295034,935490,740560,,,,1971274
15/04/2021,Delhi,2454871,108050,836,2031982,422889,1185074,846567,341,716471,1738400,,773,,,,297185,976688,757922,,,,2031982
16/04/2021,Delhi,2504071,72850,516,2065695,438376,1205218,860130,347,730737,1773334,,774,,,,299301,999917,766289,,,,2065695
17/04/2021,Delhi,2572685,105020,803,2121099,451586,1239449,881283,367,756067,1816618,,775,,,,301395,1039772,779738,,,,2121099
18/04/2021,Delhi,2621277,98950,787,2162307,458970,1264802,897129,376,774240,1847037,,780,,,,302210,1070170,789733,,,,2162307
19/04/2021,Delhi,2682092,103300,827,2202752,479340,1289105,913261,386,795593,1886499,,788,,,,304718,1096491,801347,,,,2202752
20/04/2021,Delhi,2732507,103450,831,2238271,494236,1310586,927296,389,813979,1918528,,788,,,,306651,1121279,810146,,,,2238271
21/04/2021,Delhi,2787116,100950,802,2277803,509313,1332312,945097,394,832393,1954723,,789,,,,307801,1149491,820315,,,,2277803
22/04/2021,Delhi,2855657,104550,823,2325997,529660,1358333,967263,401,857044,1998613,,792,,,,309990,1183104,832700,,,,2325997
23/04/2021,Delhi,2891857,71000,529,2347381,544476,1370063,976915,403,866767,2025090,,793,,,,311497,1197830,837853,,,,2347381
24/04/2021,Delhi,2962231,99450,792,2395935,566296,1396008,999520,407,892412,2069819,,794,,,,313572,1232683,849474,,,,2395935
25/04/2021,Delhi,3003477,95000,757,2425352,578125,1411612,1013331,409,904993,2098484,,795,,,,314730,1256034,854384,,,,2425352
26/04/2021,Delhi,3061567,99400,805,2461970,599597,1431247,1030308,415,924779,2136788,,800,,,,317012,1281151,863593,,,,2461970
27/04/2021,Delhi,3114832,98800,799,2495676,619156,1449537,1045720,419,943088,2171744,,806,,,,393341,1229853,872266,,,,2495676
28/04/2021,Delhi,3147893,67550,501,2512508,635385,1458364,1053721,423,951007,2196886,,806,,,,394993,1240384,876918,,,,2512508
29/04/2021,Delhi,3224828,97850,796,2558135,666693,1482632,1075072,431,978857,2245971,,809,,,,399636,1269711,888629,,,,2558135
30/04/2021,Delhi,3271950,68640,507,2581651,690299,1495036,1086175,440,992050,2279900,,809,,,,402529,1284424,894533,,,,2581651
01/05/2021,Delhi,3323249,89110,685,2611942,711307,1511816,1099682,444,1014760,2308489,,809,,,,408335,1302811,900631,,,,2611942
02/05/2021,Delhi,3324902,15500,122,2613227,711675,1512591,1100192,444,1015048,2309854,,809,,,,408706,1303758,900669,,,,2613227
03/05/2021,Delhi,3415728,122850,900,2676373,739355,1551202,1124715,456,1054775,2360953,,810,,,,450157,1319948,906172,,,,2676373
04/05/2021,Delhi,3507635,121000,882,2742953,764682,1591565,1150913,475,1093302,2414333,,817,,,,495662,1335733,911451,,,,2742953
05/05/2021,Delhi,3576091,94420,599,2800013,776078,1626372,1173158,483,1117442,2458649,,831,,,,545220,1341313,913373,,,,2800013
06/05/2021,Delhi,3693814,126950,922,2883317,810497,1676526,1206289,502,1165057,2528757,,840,,,,604542,1359039,919621,,,,2883317
07/05/2021,Delhi,3774068,102390,665,2951479,822589,1717488,1233474,517,1193011,2581057,,855,,,,664812,1365071,921479,,,,2951479
08/05/2021,Delhi,3905912,138932,974,3044458,861454,1771228,1272699,531,1244664,2661248,,865,,,,729768,1385727,928827,,,,3044458
09/05/2021,Delhi,3907469,8088,71,3045394,862075,1771717,1273146,531,1244756,2662713,,865,,,,730529,1385874,928855,,,,3045394
10/05/2021,Delhi,4051457,144330,979,3142198,909259,1827189,1314458,551,1299416,2752041,,872,,,,799328,1406277,936280,,,,3142198
11/05/2021,Delhi,4183896,130901,946,3229399,954497,1876398,1352431,570,1346627,2837269,,873,,,,858818,1426444,943661,,,,3229399
12/05/2021,Delhi,4259338,91730,618,3292311,967027,1912592,1379139,580,1363489,2895849,,880,,,,910516,1434818,946396,,,,3292311
13/05/2021,Delhi,4385905,125820,905,3378261,1007644,1960353,1417310,598,1405495,2980410,,888,,,,966037,1456803,954671,,,,3378261
14/05/2021,Delhi,4390592,12960,107,3381649,1008943,1962290,1418759,600,1406138,2984454,,888,,,,969362,1456863,954664,,,,3381649
15/05/2021,Delhi,4511407,126453,936,3464560,1046847,2008240,1455692,628,1441744,3069663,,894,,,,1024902,1476780,961929,,,,3464560
16/05/2021,Delhi,4603220,148063,859,3544850,1058370,2053531,1490666,653,1461962,3141258,,896,,,,1088424,1489088,966287,,,,3544850
17/05/2021,Delhi,4717683,189776,1043,3639716,1077967,2107356,1531683,677,1486103,3231580,,900,,,,1158189,1507717,972642,,,,3639716
18/05/2021,Delhi,4824666,179650,992,3729586,1095080,2158874,1570007,705,1507234,3317432,,910,,,,1222895,1526333,979030,,,,3729586
19/05/2021,Delhi,4893993,132858,701,3791772,1102221,2195074,1595984,714,1514976,3379017,,914,,,,1274621,1534211,981528,,,,3791772
20/05/2021,Delhi,4972927,156873,900,3849484,1123443,2227935,1620816,733,1537051,3435876,,913,,,,1313080,1548483,986355,,,,3849484
21/05/2021,Delhi,5023829,113147,598,3891569,1132260,2251807,1639015,747,1547651,3476178,0,927,,,,1343678,1557148,989101,,,,3891569
22/05/2021,Delhi,5089359,140542,840,3937525,1151834,2277217,1659551,757,1568945,3520414,0,928,,,,1370640,1571167,993986,,,,3937525
23/05/2021,Delhi,5094051,23944,164,3941970,1152081,2279825,1661387,758,1569666,3524385,0,928,,,,1374914,1571281,994041,,,,3941970
24/05/2021,Delhi,5149101,129991,785,3982667,1166434,2302607,1679293,767,1583569,3565532,0,933,,,,1395128,1586405,999292,,,,3982667
25/05/2021,Delhi,5193420,129697,790,4016461,1176959,2322448,1693241,772,1593299,3600121,0,934,,,,1413872,1597571,1003081,,,,4016461
26/05/2021,Delhi,5227641,123383,723,4047233,1180408,2341196,1705259,778,1598134,3629507,0,935,,,,1434073,1605436,1005697,,,,4047233
27/05/2021,Delhi,5267046,133842,755,4081178,1185868,2362008,1718387,783,1602551,3664495,0,936,,,,1455493,1614662,1008863,,,,4081178
28/05/2021,Delhi,5298144,114826,586,4109416,1188728,2379448,1729173,795,1606098,3692046,0,937,,,,1474981,1621141,1011021,,,,4109416
29/05/2021,Delhi,5352466,157171,813,4148595,1203871,2402674,1745120,801,1622828,3729638,0,939,,,,1499494,1631715,1014931,,,,4148595
30/05/2021,Delhi,5362104,34991,154,4157813,1204291,2408287,1748725,801,1623097,3739007,0,942,,,,1508035,1632202,1015113,,,,4157813
31/05/2021,Delhi,5419341,152151,833,4194986,1224355,2429400,1764775,811,1643548,3775793,0,942,,,,1529064,1644082,1019286,,,,4194986
01/06/2021,Delhi,5469628,144952,811,4228359,1241269,2449433,1778109,817,1662436,3807192,0,943,,,,1551375,1652221,1022128,,,,4228359
02/06/2021,Delhi,5506534,127028,621,4257176,1249358,2467041,1789312,823,1671645,3834889,0,946,,,,1571455,1658707,1024299,,,,4257176
03/06/2021,Delhi,5559386,156640,803,4294738,1264648,2489905,1804000,833,1687996,3871390,0,947,,,,1596795,1667590,1027440,,,,4294738
04/06/2021,Delhi,5599054,137401,604,4329324,1269730,2511391,1817070,863,1693027,3906027,0,948,,,,1621602,1674796,1029861,,,,4329324
05/06/2021,Delhi,5656091,159161,735,4371075,1285016,2536381,1833818,876,1708079,3948012,0,950,,,,1649235,1685161,1033429,,,,4371075
06/06/2021,Delhi,5671497,39643,93,4385618,1285879,2544645,1840095,878,1708860,3962637,0,950,,,,1663098,1685556,1033626,,,,4385618
07/06/2021,Delhi,5737887,164270,832,4419597,1318290,2564846,1853867,884,1739312,3998575,0,952,,,,1682139,1696566,1037423,,,,4419597
08/06/2021,Delhi,5786229,162885,767,4445352,1340877,2580204,1864259,889,1760273,4025956,0,953,,,,1698472,1703352,1039967,,,,4445352
09/06/2021,Delhi,5834482,162314,725,4471099,1363383,2595546,1874656,897,1781555,4052927,0,954,,,,1716404,1708995,1042053,,,,4471099
10/06/2021,Delhi,5916278,226438,1133,4521905,1394373,2625225,1895772,908,1811475,4104803,0,955,,,,1756814,1716199,1045124,,,,4521905
11/06/2021,Delhi,5995748,204285,1005,4583464,1412284,2661754,1920782,928,1828779,4166949,20,957,,,,1807855,1723611,1048092,,,,4583464
12/06/2021,Delhi,6079589,217981,1067,4638935,1440654,2693755,1944242,938,1855584,4223915,90,958,,,,1850268,1732943,1051688,,,,4638935
13/06/2021,Delhi,6094030,69518,167,4650867,1443163,2700427,1949498,942,1857898,4236042,90,958,,,,1860334,1734266,1052196,,,,4650867
14/06/2021,Delhi,6154661,205707,1009,4690576,1464085,2723077,1966552,947,1875843,4278508,310,959,,,,1888074,1742692,1055662,,,,4690576
15/06/2021,Delhi,6208289,196867,977,4719321,1488968,2739668,1978707,946,1898154,4309610,525,959,,,,1906456,1750052,1058602,,,,4719321
16/06/2021,Delhi,6263721,185263,882,4756248,1507473,2761123,1994174,951,1916268,4346834,619,959,,,,1934939,1755972,1061020,,,,4756248
17/06/2021,Delhi,6355530,253924,1245,4818228,1537302,2797649,2019613,966,1943850,4411061,619,959,,,,1987344,1762717,1063775,,,,4818228
18/06/2021,Delhi,6434195,233380,1118,4881510,1552685,2835063,2045461,986,1957666,4475910,619,959,,,,2041022,1769567,1066426,,,,4881510
19/06/2021,Delhi,6522118,241299,1190,4943731,1578387,2870619,2072112,1000,1980433,4540976,709,962,,,,2090228,1779035,1069879,,,,4943731
20/06/2021,Delhi,6533793,69187,122,4953785,1580008,2876076,2076706,1003,1982623,4550461,709,962,,,,2099082,1779844,1070238,,,,4953785
21/06/2021,Delhi,6611234,246389,1167,5013438,1597796,2910220,2102183,1035,1998961,4611564,709,962,,,,2145882,1789183,1073669,,,,5013438
22/06/2021,Delhi,6697233,247154,1154,5080592,1616641,2948457,2131075,1060,2013156,4683293,784,962,,,,2200392,1798223,1077170,,,,5080592
23/06/2021,Delhi,6807716,256799,1062,5179708,1628008,3005265,2173353,1090,2020593,4786314,809,963,,,,2290501,1804616,1079556,,,,5179708
24/06/2021,Delhi,6966205,341882,1293,5318124,1648081,3085257,2231717,1150,2031478,4933853,874,968,,,,2418027,1812408,1082206,,,,5318124
25/06/2021,Delhi,7121582,330425,1174,5456691,1664891,4143528,2976702,1352,2036514,5084071,997,979,3027465,2466724,1627393,,,,,,,
26/06/2021,Delhi,7329652,394933,1322,5629446,1700206,4259981,3068259,1412,2050772,5277540,1340,984,3188414,2500409,1640829,,,,,,,
27/06/2021,Delhi,7339238,55797,91,5636415,1702823,4265052,3072774,1412,2051437,5286072,1729,984,3194685,2502711,1641842,,,,,,,
28/06/2021,Delhi,7543922,373166,1321,5801102,1742820,4380504,3161958,1460,2063858,5477699,2365,990,3342543,2542847,1658532,,,,,,,
29/06/2021,Delhi,7747246,389768,1359,5967019,1780227,4494779,3250964,1503,2073817,5670793,2636,990,3492015,2581040,1674191,,,,,,,
30/06/2021,Delhi,7893534,312098,1152,6088879,1804655,4578179,3313808,1547,2080426,5809112,3996,994,3601407,2607426,1684701,,,,,,,
01/07/2021,Delhi,8051352,361412,1329,6214708,1836644,4666967,3382795,1590,2088363,5958585,4404,997,3714277,2639267,1697808,,,,,,,
02/07/2021,Delhi,8212088,347513,1258,6345189,1866899,4756958,3453451,1679,2094013,6113001,5074,1003,3830197,2671452,1710439,,,,,,,
03/07/2021,Delhi,8373332,324063,1269,6466496,1906836,4846270,3525333,1729,2103455,6263579,6298,1022,3938704,2709946,1724682,,,,,,,
04/07/2021,Delhi,8382839,56779,89,6472151,1910688,4851072,3530036,1731,2104519,6271946,6374,1027,3943752,2712992,1726095,,,,,,,
05/07/2021,Delhi,8463689,207306,844,6523882,1939807,4897042,3564895,1752,2113489,6343181,7019,1027,3991391,2736533,1735765,,,,,,,
06/07/2021,Delhi,8498379,140280,539,6543046,1955333,4916611,3580008,1760,2120436,6370167,7776,1031,4010396,2747659,1740324,,,,,,,
07/07/2021,Delhi,8520756,114650,384,6554851,1965905,4929024,3589965,1767,2125216,6386181,9359,1031,4022892,2754532,1743332,,,,,,,
08/07/2021,Delhi,8679752,343126,1243,6666282,2013470,5016211,3661714,1827,2131598,6537918,10236,1031,4121440,2797737,1760575,,,,,,,
09/07/2021,Delhi,8810952,272263,1054,6761634,2049318,5087924,3721150,1878,2137277,6662083,11592,1035,4205055,2832370,1773527,,,,,,,
10/07/2021,Delhi,8890766,207996,802,6814195,2076571,5132295,3756573,1898,2153441,6724039,13286,1044,4253592,2855227,1781947,,,,,,,
11/07/2021,Delhi,8901626,58110,96,6821204,2080422,5137705,3762022,1899,2155754,6731965,13907,1044,4259924,2858359,1783343,,,,,,,
12/07/2021,Delhi,8937940,136200,526,6843441,2094499,5157950,3778085,1905,2171194,6751418,15328,1044,4281450,2868798,1787692,,,,,,,
13/07/2021,Delhi,9067022,270755,1139,6936013,2131009,5229223,3835847,1952,2184389,6866117,16516,1049,4361658,2904551,1800813,,,,,,,
14/07/2021,Delhi,9153718,171612,667,7002464,2151254,5277183,3874580,1955,2199106,6936822,17790,1049,4407589,2933608,1812521,,,,,,,
15/07/2021,Delhi,9186905,131688,526,7023654,2163251,5295407,3889518,1980,2213774,6954062,19069,1051,4427481,2942794,1816630,,,,,,,
16/07/2021,Delhi,9274314,205962,870,7086069,2188245,5342934,3929378,2002,2225631,7028161,20522,1051,4481769,2966850,1825695,,,,,,,
17/07/2021,Delhi,9346116,176364,675,7134416,2211700,5381812,3962270,2034,2242598,7081221,22297,1054,4526095,2986659,1833362,,,,,,,
18/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
19/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
20/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
21/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
22/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
23/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
24/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
25/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
26/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
27/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
28/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
29/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
30/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
31/07/2021,Delhi,,,,,,,,,,,,,,,,,,,,,,
16/01/2021,Goa,50,7,7,50,0,16,34,0,0,50,,,,,,,,,,,,50
17/01/2021,Goa,50,10,7,50,0,16,34,0,0,50,,,,,,,,,,,,50
18/01/2021,Goa,47,20,8,47,0,20,27,0,0,47,,,,,,,,,,,,47
19/01/2021,Goa,72,32,15,72,0,26,46,0,0,72,,,,,,,,,,,,72
20/01/2021,Goa,72,38,20,72,0,26,46,0,0,72,,,,,,,,,,,,72
21/01/2021,Goa,72,41,22,72,0,26,46,0,0,72,,,,,,,,,,,,72
22/01/2021,Goa,300,44,24,300,0,133,167,0,0,300,,,,,,,,,,,,300
23/01/2021,Goa,971,47,24,971,0,394,577,0,0,971,,,,,,,,,,,,971
24/01/2021,Goa,1033,55,26,1033,0,412,621,0,0,1033,,,,,,,,,,,,1033
25/01/2021,Goa,1285,68,37,1285,0,491,794,0,0,1285,,,,,,,,,,,,1285
26/01/2021,Goa,1290,70,39,1290,0,494,796,0,0,1290,,,,,,,,,,,,1290
27/01/2021,Goa,1844,72,39,1844,0,684,1160,0,0,1844,,,,,,,,,,,,1844
28/01/2021,Goa,2394,77,41,2394,0,890,1504,0,0,2394,,,,,,,,,,,,2394
29/01/2021,Goa,2752,82,43,2752,0,1033,1719,0,0,2752,,,,,,,,,,,,2752
30/01/2021,Goa,3464,90,46,3464,0,1329,2135,0,0,3464,,,,,,,,,,,,3464
31/01/2021,Goa,3466,103,50,3466,0,1330,2136,0,0,3466,,,,,,,,,,,,3466
01/02/2021,Goa,3860,119,60,3860,0,1457,2403,0,0,3860,,,,,,,,,,,,3860
02/02/2021,Goa,4720,148,77,4720,0,1759,2961,0,0,4720,,,,,,,,,,,,4720
03/02/2021,Goa,5582,158,80,5582,0,2045,3537,0,0,5582,,,,,,,,,,,,5582
04/02/2021,Goa,6532,173,83,6532,0,2339,4193,0,0,6532,,,,,,,,,,,,6532
05/02/2021,Goa,7195,173,83,7195,0,2499,4696,0,0,7195,,,,,,,,,,,,7195
06/02/2021,Goa,7460,182,86,7460,0,2574,4886,0,0,7460,,,,,,,,,,,,7460
07/02/2021,Goa,7462,189,89,7462,0,2576,4886,0,0,7462,,,,,,,,,,,,7462
08/02/2021,Goa,7800,200,95,7800,0,2709,5091,0,0,7800,,,,,,,,,,,,7800
09/02/2021,Goa,8607,214,106,8607,0,3244,5363,0,0,8607,,,,,,,,,,,,8607
10/02/2021,Goa,9656,272,115,9656,0,3999,5657,0,1,9655,,,,,,,,,,,,9656
11/02/2021,Goa,11086,318,128,11086,0,4828,6258,0,1,11085,,,,,,,,,,,,11086
12/02/2021,Goa,12743,357,129,12743,0,5815,6928,0,1,12742,,,,,,,,,,,,12743
13/02/2021,Goa,13586,399,131,13277,309,6107,7170,0,1,13276,,,,,,,,,,,,13277
14/02/2021,Goa,13586,401,131,13277,309,6107,7170,0,1,13276,,,,,,,,,,,,13277
15/02/2021,Goa,14279,419,133,13942,337,6664,7278,0,1,13941,,,,,,,,,,,,13942
16/02/2021,Goa,14463,443,134,14123,340,6820,7303,0,1,14122,,,,,,,,,,,,14123
17/02/2021,Goa,15040,481,136,14700,340,7305,7395,0,1,14699,,,,,,,,,,,,14700
18/02/2021,Goa,14303,507,136,13960,343,7042,6918,0,1,13959,,,,,,,,,,,,13960
19/02/2021,Goa,16002,541,137,15417,585,7738,7679,0,1,15416,,,,,,,,,,,,15417
20/02/2021,Goa,17395,543,138,16122,1273,7989,8133,0,1,16121,,,,,,,,,,,,16122
21/02/2021,Goa,17395,559,141,16122,1273,7989,8133,0,1,16121,,,,,,,,,,,,16122
22/02/2021,Goa,18143,603,142,16651,1492,8366,8285,0,1,16650,,,,,,,,,,,,16651
23/02/2021,Goa,18419,647,150,16916,1503,8577,8339,0,1,16915,,,,,,,,,,,,16916
24/02/2021,Goa,19851,686,150,17881,1970,9302,8579,0,1,17880,,,,,,,,,,,,17881
25/02/2021,Goa,21121,707,150,18693,2428,9832,8861,0,1,18692,,,,,,,,,,,,18693
26/02/2021,Goa,22620,726,150,19870,2750,10761,9109,0,1,19869,,,,,,,,,,,,19870
27/02/2021,Goa,22620,726,150,19870,2750,10761,9109,0,1,19869,,,,,,,,,,,,19870
28/02/2021,Goa,22620,758,152,19870,2750,10761,9109,0,1,19869,,,,,,,,,,,,19870
01/03/2021,Goa,22620,856,153,19870,2750,10761,9109,0,1,19869,,,,,,,,,,,,19870
02/03/2021,Goa,27005,968,157,23398,3607,12713,10685,0,1,23397,,,,,,,,,,,,23398
03/03/2021,Goa,31430,1112,167,26860,4570,14607,12253,0,1,26859,,,,,,,,,,,,26860
04/03/2021,Goa,36170,1258,178,30673,5497,16654,14019,0,1,30672,,,,,,,,,,,,30673
05/03/2021,Goa,40430,1458,178,34005,6425,18296,15709,0,1,34004,,,,,,,,,,,,34005
06/03/2021,Goa,43800,1507,178,36894,6906,19685,17209,0,1,36893,,,,,,,,,,,,36894
07/03/2021,Goa,43808,1532,184,36902,6906,19686,17216,0,1,36901,,,,,,,,,,,,36902
08/03/2021,Goa,47499,1632,184,40153,7346,21318,18835,0,2,40151,,,,,,,,,,,,40153
09/03/2021,Goa,43940,7600,54,36027,7913,23175,20765,0,0,43937,,,,,,,,,,,,43940
10/03/2021,Goa,47253,8700,60,38493,8760,24975,22278,0,0,47250,,,,,,,,,,,,47253
11/03/2021,Goa,50241,9200,62,40416,9825,26660,23581,0,0,50238,,,,,,,,,,,,50241
12/03/2021,Goa,55587,8700,60,44305,11282,29717,25870,0,0,55584,,,,,,,,,,,,55587
13/03/2021,Goa,59312,7050,49,47645,11667,31609,27703,0,0,59309,,,,,,,,,,,,59312
14/03/2021,Goa,59323,0,0,47655,11668,31617,27706,0,0,59320,,,,,,,,,,,,59323
15/03/2021,Goa,64652,15800,59,52403,12249,34442,30209,1,0,64649,,,,,,,,,,,,64652
16/03/2021,Goa,78377,17600,59,65739,12638,34486,31252,1,0,78377,,498,,,,15629,16293,33809,,,,65739
17/03/2021,Goa,85431,7700,51,72357,13074,38007,34349,1,0,85431,,498,,,,15754,17396,39198,,,,72357
18/03/2021,Goa,88064,7400,51,74794,13270,39245,35547,2,0,88064,,501,,,,15841,17901,41043,,,,74794
19/03/2021,Goa,91419,7200,49,77616,13803,40635,36979,2,0,91419,,501,,,,16036,18683,42888,,,,77616
20/03/2021,Goa,94735,6900,49,80447,14288,41956,38488,3,0,94735,,501,,,,16187,19516,44735,,,,80447
21/03/2021,Goa,94819,100,1,80522,14297,41993,38526,3,0,94819,,502,,,,16193,19550,44770,,,,80522
22/03/2021,Goa,98125,7400,52,83315,14810,43342,39970,3,0,98125,,502,,,,16365,20211,46730,,,,83315
23/03/2021,Goa,101464,7200,51,86286,15178,44796,41487,3,0,101464,,502,,,,16517,20910,48850,,,,86286
24/03/2021,Goa,104768,6900,49,88974,15794,46162,42809,3,0,104768,,502,,,,16657,21643,50665,,,,88974
25/03/2021,Goa,107821,7300,52,91525,16296,47481,44041,3,0,107821,,507,,,,16818,22277,52421,,,,91525
26/03/2021,Goa,111081,8300,56,94110,16971,48822,45285,3,0,111081,,508,,,,17009,22932,54160,,,,94110
27/03/2021,Goa,113726,6900,49,96611,17115,49949,46659,3,0,113726,,508,,,,17173,23582,55847,,,,96611
28/03/2021,Goa,113726,600,5,96611,17115,49948,46660,3,0,113726,,508,,,,17173,23581,55848,,,,96611
29/03/2021,Goa,114575,4200,39,97343,17232,50330,47010,3,0,114575,,508,,,,17209,23775,56350,,,,97343
30/03/2021,Goa,118688,9450,54,100317,18371,51791,48523,3,0,118688,,513,,,,17310,24416,58582,,,,100317
31/03/2021,Goa,121981,12100,69,102595,19386,52951,49640,4,0,121981,,515,,,,17424,24906,60256,,,,102595
01/04/2021,Goa,125601,9700,64,105426,20175,54497,50925,4,0,125601,,515,,,,17529,26642,61246,,,,105426
02/04/2021,Goa,129693,7500,51,108867,20826,56373,52490,4,0,129693,,515,,,,17653,29060,62145,,,,108867
03/04/2021,Goa,133134,7500,54,111519,21615,57777,53738,4,0,133134,,515,,,,17813,30746,62951,,,,111519
04/04/2021,Goa,135851,7300,47,113879,21972,59025,54850,4,0,135851,,516,,,,17866,32439,63565,,,,113879
05/04/2021,Goa,139746,8700,61,116633,23113,60453,56176,4,0,139746,,517,,,,17871,34105,64648,,,,116633
06/04/2021,Goa,142463,9700,70,118691,23772,61494,57193,4,0,142463,,518,,,,17882,35354,65446,,,,118691
07/04/2021,Goa,149580,10200,69,123996,25584,64278,59714,4,0,149580,,519,,,,17899,38665,67422,,,,123996
08/04/2021,Goa,155376,9400,64,128428,26948,66610,61814,4,0,155376,,520,,,,17915,41483,69020,,,,128428
09/04/2021,Goa,162057,8900,64,133268,28789,69290,63974,4,0,162057,,524,,,,17943,44810,70505,,,,133268
10/04/2021,Goa,171070,8600,57,140385,30685,72757,67624,4,0,171070,,524,,,,17973,49667,72735,,,,140385
11/04/2021,Goa,178329,9600,58,147178,31151,76153,71021,4,0,178329,,525,,,,17993,53940,75235,,,,147178
12/04/2021,Goa,188080,18000,65,154523,33557,79862,74654,7,0,188080,,526,,,,18070,58577,77866,,,,154523
13/04/2021,Goa,192563,8200,56,158206,34357,81735,76464,7,0,192563,,526,,,,18091,60898,79207,,,,158206
14/04/2021,Goa,203125,10500,61,167443,35682,86145,81290,8,0,203125,,526,,,,18123,66473,82837,,,,167443
15/04/2021,Goa,213122,10200,59,173909,39213,89205,84695,9,0,213122,,529,,,,18157,70194,85547,,,,173909
16/04/2021,Goa,224966,8900,59,182574,42392,93412,89150,12,0,224966,,534,,,,18238,75283,89041,,,,182574
