Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered
20/01/2021,Nagaland,2988,0,2988
20/01/2021,Odisha,68743,0,68743
20/01/2021,Puducherry,759,0,759
20/01/2021,Punjab,7607,0,7607
20/01/2021,Rajasthan,32379,0,32379
20/01/2021,Sikkim,573,0,573
20/01/2021,Tamil Nadu,33670,0,33670
20/01/2021,Telangana,69405,0,69405
20/01/2021,Tripura,3734,0,3734
20/01/2021,Uttar Pradesh,22644,0,22644
20/01/2021,Uttarakhand,6119,0,6119
20/01/2021,West Bengal,46310,0,46310
20/01/2021,Miscellaneous,26940,0,26940
20/01/2021,Total,806484,0,806484
21/01/2021,Andaman and Nicobar Islands,1032,0,1032
21/01/2021,Andhra Pradesh,115365,0,115365
21/01/2021,Arunachal Pradesh,4682,0,4682
21/01/2021,Assam,10676,0,10676
21/01/2021,Bihar,63541,0,63541
21/01/2021,Chandigarh,753,0,753
21/01/2021,Chhattisgarh,22171,0,22171
21/01/2021,Dadra and Nagar Haveli and Daman and Diu,278,0,278
21/01/2021,Delhi,18844,0,18844
21/01/2021,Goa,426,0,426
21/01/2021,Gujarat,34865,0,34865
21/01/2021,Haryana,45893,0,45893
21/01/2021,Himachal Pradesh,5790,0,5790
21/01/2021,Jammu and Kashmir,6847,0,6847
21/01/2021,Jharkhand,11641,0,11641
21/01/2021,Karnataka,138807,0,138807
21/01/2021,Kerala,35173,0,35173
21/01/2021,Ladakh,240,0,240
21/01/2021,Lakshadweep,369,0,369
21/01/2021,Madhya Pradesh,38278,0,38278
21/01/2021,Maharashtra,52393,0,52393
21/01/2021,Manipur,1454,0,1454
21/01/2021,Meghalaya,1785,0,1785
21/01/2021,Mizoram,2537,0,2537
21/01/2021,Nagaland,3187,0,3187
21/01/2021,Odisha,113623,0,113623
21/01/2021,Puducherry,759,0,759
21/01/2021,Punjab,12532,0,12532
21/01/2021,Rajasthan,32379,0,32379
21/01/2021,Sikkim,773,0,773
21/01/2021,Tamil Nadu,42947,0,42947
21/01/2021,Telangana,97087,0,97087
21/01/2021,Tripura,9272,0,9272
21/01/2021,Uttar Pradesh,22644,0,22644
21/01/2021,Uttarakhand,8206,0,8206
21/01/2021,West Bengal,53988,0,53988
21/01/2021,Miscellaneous,32297,0,32297
21/01/2021,Total,1043534,0,1043534
22/01/2021,Andaman and Nicobar Islands,1466,0,1466
22/01/2021,Andhra Pradesh,133298,0,133298
22/01/2021,Arunachal Pradesh,5956,0,5956
22/01/2021,Assam,13881,0,13881
22/01/2021,Bihar,63620,0,63620
22/01/2021,Chandigarh,1157,0,1157
22/01/2021,Chhattisgarh,22259,0,22259
22/01/2021,Dadra and Nagar Haveli and Daman and Diu,356,0,356
22/01/2021,Delhi,18844,0,18844
22/01/2021,Goa,946,0,946
22/01/2021,Gujarat,46150,0,46150
22/01/2021,Haryana,62142,0,62142
22/01/2021,Himachal Pradesh,9609,0,9609
22/01/2021,Jammu and Kashmir,9827,0,9827
22/01/2021,Jharkhand,14806,0,14806
22/01/2021,Karnataka,184699,0,184699
22/01/2021,Kerala,47293,0,47293
22/01/2021,Ladakh,401,0,401
22/01/2021,Lakshadweep,552,0,552
22/01/2021,Madhya Pradesh,38278,0,38278
22/01/2021,Maharashtra,74960,0,74960
22/01/2021,Manipur,1923,0,1923
22/01/2021,Meghalaya,2078,0,2078
22/01/2021,Mizoram,3657,0,3657
22/01/2021,Nagaland,3443,0,3443
22/01/2021,Odisha,130007,0,130007
22/01/2021,Puducherry,1097,0,1097
22/01/2021,Punjab,21340,0,21340
22/01/2021,Rajasthan,43947,0,43947
22/01/2021,Sikkim,960,0,960
22/01/2021,Tamil Nadu,51651,0,51651
22/01/2021,Telangana,110031,0,110031
22/01/2021,Tripura,14252,0,14252
22/01/2021,Uttar Pradesh,123761,0,123761
22/01/2021,Uttarakhand,10514,0,10514
22/01/2021,West Bengal,84505,0,84505
22/01/2021,Miscellaneous,36926,0,36926
22/01/2021,Total,1390592,0,1390592
23/01/2021,Andaman and Nicobar Islands,1998,0,1998
23/01/2021,Andhra Pradesh,147030,0,147030
23/01/2021,Arunachal Pradesh,6511,0,6511
23/01/2021,Assam,13881,0,13881
23/01/2021,Bihar,76125,0,76125
23/01/2021,Chandigarh,1502,0,1502
23/01/2021,Chhattisgarh,28732,0,28732
23/01/2021,Dadra and Nagar Haveli and Daman and Diu,628,0,628
23/01/2021,Delhi,25811,0,25811
23/01/2021,Goa,1561,0,1561
23/01/2021,Gujarat,78466,0,78466
23/01/2021,Haryana,71297,0,71297
23/01/2021,Himachal Pradesh,13544,0,13544
23/01/2021,Jammu and Kashmir,11647,0,11647
23/01/2021,Jharkhand,14806,0,14806
23/01/2021,Karnataka,188971,0,188971
23/01/2021,Kerala,53529,0,53529
23/01/2021,Ladakh,558,0,558
23/01/2021,Lakshadweep,633,0,633
23/01/2021,Madhya Pradesh,38278,0,38278
23/01/2021,Maharashtra,99885,0,99885
23/01/2021,Manipur,2319,0,2319
23/01/2021,Meghalaya,2236,0,2236
23/01/2021,Mizoram,3979,0,3979
23/01/2021,Nagaland,3443,0,3443
23/01/2021,Odisha,152371,0,152371
23/01/2021,Puducherry,1478,0,1478
23/01/2021,Punjab,30319,0,30319
23/01/2021,Rajasthan,67270,0,67270
23/01/2021,Sikkim,960,0,960
23/01/2021,Tamil Nadu,59226,0,59226
23/01/2021,Telangana,110031,0,110031
23/01/2021,Tripura,14252,0,14252
23/01/2021,Uttar Pradesh,123761,0,123761
23/01/2021,Uttarakhand,10514,0,10514
23/01/2021,West Bengal,84505,0,84505
23/01/2021,Miscellaneous,40144,0,40144
23/01/2021,Total,1582201,0,1582201
24/01/2021,Andaman and Nicobar Islands,2019,0,2019
24/01/2021,Andhra Pradesh,147030,0,147030
24/01/2021,Arunachal Pradesh,6511,0,6511
24/01/2021,Assam,13881,0,13881
24/01/2021,Bihar,76125,0,76125
24/01/2021,Chandigarh,1502,0,1502
24/01/2021,Chhattisgarh,28732,0,28732
24/01/2021,Dadra and Nagar Haveli and Daman and Diu,628,0,628
24/01/2021,Delhi,25811,0,25811
24/01/2021,Goa,1561,0,1561
24/01/2021,Gujarat,78466,0,78466
24/01/2021,Haryana,72204,0,72204
24/01/2021,Himachal Pradesh,13544,0,13544
24/01/2021,Jammu and Kashmir,11647,0,11647
24/01/2021,Jharkhand,14806,0,14806
24/01/2021,Karnataka,191449,0,191449
24/01/2021,Kerala,53529,0,53529
24/01/2021,Ladakh,558,0,558
24/01/2021,Lakshadweep,633,0,633
24/01/2021,Madhya Pradesh,38278,0,38278
24/01/2021,Maharashtra,99885,0,99885
24/01/2021,Manipur,2319,0,2319
24/01/2021,Meghalaya,2236,0,2236
24/01/2021,Mizoram,3979,0,3979
24/01/2021,Nagaland,3443,0,3443
24/01/2021,Odisha,152371,0,152371
24/01/2021,Puducherry,1478,0,1478
24/01/2021,Punjab,31327,0,31327
24/01/2021,Rajasthan,93525,0,93525
24/01/2021,Sikkim,960,0,960
24/01/2021,Tamil Nadu,61720,0,61720
24/01/2021,Telangana,110031,0,110031
24/01/2021,Tripura,14252,0,14252
24/01/2021,Uttar Pradesh,123761,0,123761
24/01/2021,Uttarakhand,10514,0,10514
24/01/2021,West Bengal,84505,0,84505
24/01/2021,Miscellaneous,40284,0,40284
24/01/2021,Total,1615504,0,1615504
25/01/2021,Andaman and Nicobar Islands,2369,0,2369
25/01/2021,Andhra Pradesh,156120,0,156120
25/01/2021,Arunachal Pradesh,7307,0,7307
25/01/2021,Assam,19837,0,19837
25/01/2021,Bihar,88450,0,88450
25/01/2021,Chandigarh,1928,0,1928
25/01/2021,Chhattisgarh,40025,0,40025
25/01/2021,Dadra and Nagar Haveli and Daman and Diu,665,0,665
25/01/2021,Delhi,33219,0,33219
25/01/2021,Goa,1796,0,1796
25/01/2021,Gujarat,91927,0,91927
25/01/2021,Haryana,105419,0,105419
25/01/2021,Himachal Pradesh,13544,0,13544
25/01/2021,Jammu and Kashmir,16173,0,16173
25/01/2021,Jharkhand,18413,0,18413
25/01/2021,Karnataka,231172,0,231172
25/01/2021,Kerala,71973,0,71973
25/01/2021,Ladakh,670,0,670
25/01/2021,Lakshadweep,676,0,676
25/01/2021,Madhya Pradesh,67083,0,67083
25/01/2021,Maharashtra,136901,0,136901
25/01/2021,Manipur,2485,0,2485
25/01/2021,Meghalaya,2748,0,2748
25/01/2021,Mizoram,4852,0,4852
25/01/2021,Nagaland,3675,0,3675
25/01/2021,Odisha,177090,0,177090
25/01/2021,Puducherry,1813,0,1813
25/01/2021,Punjab,39418,0,39418
25/01/2021,Rajasthan,161116,0,161116
25/01/2021,Sikkim,1047,0,1047
25/01/2021,Tamil Nadu,69027,0,69027
25/01/2021,Telangana,130390,0,130390
25/01/2021,Tripura,19698,0,19698
25/01/2021,Uttar Pradesh,123761,0,123761
25/01/2021,Uttarakhand,14546,0,14546
25/01/2021,West Bengal,122851,0,122851
25/01/2021,Miscellaneous,43625,0,43625
25/01/2021,Total,2023809,0,2023809
26/01/2021,Andaman and Nicobar Islands,2369,0,2369
26/01/2021,Andhra Pradesh,156129,0,156129
26/01/2021,Arunachal Pradesh,7307,0,7307
26/01/2021,Assam,19837,0,19837
26/01/2021,Bihar,88450,0,88450
26/01/2021,Chandigarh,1928,0,1928
26/01/2021,Chhattisgarh,40025,0,40025
26/01/2021,Dadra and Nagar Haveli and Daman and Diu,665,0,665
26/01/2021,Delhi,33219,0,33219
26/01/2021,Goa,1796,0,1796
26/01/2021,Gujarat,91927,0,91927
26/01/2021,Haryana,105419,0,105419
26/01/2021,Himachal Pradesh,13544,0,13544
26/01/2021,Jammu and Kashmir,16173,0,16173
26/01/2021,Jharkhand,18413,0,18413
26/01/2021,Karnataka,231607,0,231607
26/01/2021,Kerala,71973,0,71973
26/01/2021,Ladakh,670,0,670
26/01/2021,Lakshadweep,676,0,676
26/01/2021,Madhya Pradesh,67083,0,67083
26/01/2021,Maharashtra,136901,0,136901
26/01/2021,Manipur,2485,0,2485
26/01/2021,Meghalaya,2748,0,2748
26/01/2021,Mizoram,4852,0,4852
26/01/2021,Nagaland,3675,0,3675
26/01/2021,Odisha,177090,0,177090
26/01/2021,Puducherry,1813,0,1813
26/01/2021,Punjab,39418,0,39418
26/01/2021,Rajasthan,161332,0,161332
26/01/2021,Sikkim,1047,0,1047
26/01/2021,Tamil Nadu,73953,0,73953
26/01/2021,Telangana,130425,0,130425
26/01/2021,Tripura,19698,0,19698
26/01/2021,Uttar Pradesh,123761,0,123761
26/01/2021,Uttarakhand,14546,0,14546
26/01/2021,West Bengal,122851,0,122851
26/01/2021,Miscellaneous,43675,0,43675
26/01/2021,Total,2029480,0,2029480
27/01/2021,Andaman and Nicobar Islands,2385,0,2385
27/01/2021,Andhra Pradesh,163727,0,163727
27/01/2021,Arunachal Pradesh,7307,0,7307
27/01/2021,Assam,19945,0,19945
27/01/2021,Bihar,89074,0,89074
27/01/2021,Chandigarh,2355,0,2355
27/01/2021,Chhattisgarh,51647,0,51647
27/01/2021,Dadra and Nagar Haveli and Daman and Diu,665,0,665
27/01/2021,Delhi,39764,0,39764
27/01/2021,Goa,2311,0,2311
27/01/2021,Gujarat,94524,0,94524
27/01/2021,Haryana,109782,0,109782
27/01/2021,Himachal Pradesh,14054,0,14054
27/01/2021,Jammu and Kashmir,16331,0,16331
27/01/2021,Jharkhand,24020,0,24020
27/01/2021,Karnataka,267811,0,267811
27/01/2021,Kerala,82970,0,82970
27/01/2021,Ladakh,818,0,818
27/01/2021,Lakshadweep,746,0,746
27/01/2021,Madhya Pradesh,131679,0,131679
27/01/2021,Maharashtra,179509,0,179509
27/01/2021,Manipur,2855,0,2855
27/01/2021,Meghalaya,3249,0,3249
27/01/2021,Mizoram,6142,0,6142
27/01/2021,Nagaland,3973,0,3973
27/01/2021,Odisha,178227,0,178227
27/01/2021,Puducherry,1813,0,1813
27/01/2021,Punjab,44708,0,44708
27/01/2021,Rajasthan,237137,0,237137
27/01/2021,Sikkim,1320,0,1320
27/01/2021,Tamil Nadu,82039,0,82039
27/01/2021,Telangana,130425,0,130425
27/01/2021,Tripura,19698,0,19698
27/01/2021,Uttar Pradesh,123761,0,123761
27/01/2021,Uttarakhand,14690,0,14690
27/01/2021,West Bengal,158193,0,158193
27/01/2021,Miscellaneous,46325,0,46325
27/01/2021,Total,2355979,0,2355979
28/01/2021,Andaman and Nicobar Islands,2656,0,2656
28/01/2021,Andhra Pradesh,171683,0,171683
28/01/2021,Arunachal Pradesh,8656,0,8656
28/01/2021,Assam,28918,0,28918
28/01/2021,Bihar,107174,0,107174
28/01/2021,Chandigarh,2764,0,2764
28/01/2021,Chhattisgarh,62115,0,62115
28/01/2021,Dadra and Nagar Haveli and Daman and Diu,779,0,779
28/01/2021,Delhi,48008,0,48008
28/01/2021,Goa,2882,0,2882
28/01/2021,Gujarat,162616,0,162616
28/01/2021,Haryana,115968,0,115968
28/01/2021,Himachal Pradesh,18848,0,18848
28/01/2021,Jammu and Kashmir,22401,0,22401
28/01/2021,Jharkhand,24315,0,24315
28/01/2021,Karnataka,286089,0,286089
28/01/2021,Kerala,106583,0,106583
28/01/2021,Ladakh,818,0,818
28/01/2021,Lakshadweep,746,0,746
28/01/2021,Madhya Pradesh,195187,0,195187
28/01/2021,Maharashtra,220587,0,220587
28/01/2021,Manipur,2855,0,2855
28/01/2021,Meghalaya,3870,0,3870
28/01/2021,Mizoram,6728,0,6728
28/01/2021,Nagaland,3973,0,3973
28/01/2021,Odisha,194058,0,194058
28/01/2021,Puducherry,1813,0,1813
28/01/2021,Punjab,50977,0,50977
28/01/2021,Rajasthan,257833,0,257833
28/01/2021,Sikkim,1776,0,1776
28/01/2021,Tamil Nadu,88467,0,88467
28/01/2021,Telangana,151246,0,151246
28/01/2021,Tripura,24302,0,24302
28/01/2021,Uttar Pradesh,294959,0,294959
28/01/2021,Uttarakhand,19517,0,19517
28/01/2021,West Bengal,187485,0,187485
28/01/2021,Miscellaneous,48401,0,48401
28/01/2021,Total,2928053,0,2928053
29/01/2021,Andaman and Nicobar Islands,2727,0,2727
29/01/2021,Andhra Pradesh,179038,0,179038
29/01/2021,Arunachal Pradesh,9265,0,9265
29/01/2021,Assam,36932,0,36932
29/01/2021,Bihar,110396,0,110396
29/01/2021,Chandigarh,2977,0,2977
29/01/2021,Chhattisgarh,62529,0,62529
29/01/2021,Dadra and Nagar Haveli and Daman and Diu,940,0,940
29/01/2021,Delhi,48008,0,48008
29/01/2021,Goa,3391,0,3391
29/01/2021,Gujarat,221675,0,221675
29/01/2021,Haryana,123935,0,123935
29/01/2021,Himachal Pradesh,22918,0,22918
29/01/2021,Jammu and Kashmir,26634,0,26634
29/01/2021,Jharkhand,33119,0,33119
29/01/2021,Karnataka,307891,0,307891
29/01/2021,Kerala,135835,0,135835
29/01/2021,Ladakh,989,0,989
29/01/2021,Lakshadweep,746,0,746
29/01/2021,Madhya Pradesh,246181,0,246181
29/01/2021,Maharashtra,261320,0,261320
29/01/2021,Manipur,3399,0,3399
29/01/2021,Meghalaya,4200,0,4200
29/01/2021,Mizoram,8497,0,8497
29/01/2021,Nagaland,3973,0,3973
29/01/2021,Odisha,205200,0,205200
29/01/2021,Puducherry,2299,0,2299
29/01/2021,Punjab,54988,0,54988
29/01/2021,Rajasthan,324973,0,324973
29/01/2021,Sikkim,2020,0,2020
29/01/2021,Tamil Nadu,97126,0,97126
29/01/2021,Telangana,166606,0,166606
29/01/2021,Tripura,27617,0,27617
29/01/2021,Uttar Pradesh,463793,0,463793
29/01/2021,Uttarakhand,25818,0,25818
29/01/2021,West Bengal,221994,0,221994
29/01/2021,Miscellaneous,50078,0,50078
29/01/2021,Total,3500027,0,3500027
30/01/2021,Andaman and Nicobar Islands,2727,0,2727
30/01/2021,Andhra Pradesh,187252,0,187252
30/01/2021,Arunachal Pradesh,9651,0,9651
30/01/2021,Assam,38106,0,38106
30/01/2021,Bihar,146015,0,146015
30/01/2021,Chandigarh,3447,0,3447
30/01/2021,Chhattisgarh,72704,0,72704
30/01/2021,Dadra and Nagar Haveli and Daman and Diu,1083,0,1083
30/01/2021,Delhi,56818,0,56818
30/01/2021,Goa,4117,0,4117
30/01/2021,Gujarat,246054,0,246054
30/01/2021,Haryana,125898,0,125898
30/01/2021,Himachal Pradesh,27734,0,27734
30/01/2021,Jammu and Kashmir,26634,0,26634
30/01/2021,Jharkhand,40726,0,40726
30/01/2021,Karnataka,315370,0,315370
30/01/2021,Kerala,158687,0,158687
30/01/2021,Ladakh,1128,0,1128
30/01/2021,Lakshadweep,807,0,807
30/01/2021,Madhya Pradesh,298376,0,298376
30/01/2021,Maharashtra,269064,0,269064
30/01/2021,Manipur,3987,0,3987
30/01/2021,Meghalaya,4324,0,4324
30/01/2021,Mizoram,9346,0,9346
30/01/2021,Nagaland,3993,0,3993
30/01/2021,Odisha,206424,0,206424
30/01/2021,Puducherry,2736,0,2736
30/01/2021,Punjab,57499,0,57499
30/01/2021,Rajasthan,329611,0,329611
30/01/2021,Sikkim,2020,0,2020
30/01/2021,Tamil Nadu,105821,0,105821
30/01/2021,Telangana,168606,0,168606
30/01/2021,Tripura,29796,0,29796
30/01/2021,Uttar Pradesh,463793,0,463793
30/01/2021,Uttarakhand,28791,0,28791
30/01/2021,West Bengal,243069,0,243069
30/01/2021,Miscellaneous,52120,0,52120
30/01/2021,Total,3744334,0,3744334
31/01/2021,Andaman and Nicobar Islands,2727,0,2727
31/01/2021,Andhra Pradesh,187252,0,187252
31/01/2021,Arunachal Pradesh,9651,0,9651
31/01/2021,Assam,38106,0,38106
31/01/2021,Bihar,148293,0,148293
31/01/2021,Chandigarh,3447,0,3447
31/01/2021,Chhattisgarh,72704,0,72704
31/01/2021,Dadra and Nagar Haveli and Daman and Diu,1083,0,1083
31/01/2021,Delhi,56818,0,56818
31/01/2021,Goa,4117,0,4117
31/01/2021,Gujarat,247891,0,247891
31/01/2021,Haryana,125977,0,125977
31/01/2021,Himachal Pradesh,27734,0,27734
31/01/2021,Jammu and Kashmir,26634,0,26634
31/01/2021,Jharkhand,40860,0,40860
31/01/2021,Karnataka,315370,0,315370
31/01/2021,Kerala,165171,0,165171
31/01/2021,Ladakh,1128,0,1128
31/01/2021,Lakshadweep,807,0,807
31/01/2021,Madhya Pradesh,298376,0,298376
31/01/2021,Maharashtra,269064,0,269064
31/01/2021,Manipur,3987,0,3987
31/01/2021,Meghalaya,4324,0,4324
31/01/2021,Mizoram,9346,0,9346
31/01/2021,Nagaland,3993,0,3993
31/01/2021,Odisha,206424,0,206424
31/01/2021,Puducherry,2736,0,2736
31/01/2021,Punjab,57499,0,57499
31/01/2021,Rajasthan,330797,0,330797
31/01/2021,Sikkim,2020,0,2020
31/01/2021,Tamil Nadu,105821,0,105821
31/01/2021,Telangana,168606,0,168606
31/01/2021,Tripura,29796,0,29796
31/01/2021,Uttar Pradesh,463793,0,463793
31/01/2021,Uttarakhand,31228,0,31228
31/01/2021,West Bengal,243143,0,243143
31/01/2021,Miscellaneous,52120,0,52120
31/01/2021,Total,3758843,0,3758843
01/02/2021,Andaman and Nicobar Islands,2727,0,2727
01/02/2021,Andhra Pradesh,187252,0,187252
01/02/2021,Arunachal Pradesh,9791,0,9791
01/02/2021,Assam,39724,0,39724
01/02/2021,Bihar,184215,0,184215
01/02/2021,Chandigarh,3803,0,3803
01/02/2021,Chhattisgarh,76705,0,76705
01/02/2021,Dadra and Nagar Haveli and Daman and Diu,1273,0,1273
01/02/2021,Delhi,64711,0,64711
01/02/2021,Goa,4509,0,4509
01/02/2021,Gujarat,256097,0,256097
01/02/2021,Haryana,126759,0,126759
01/02/2021,Himachal Pradesh,33434,0,33434
01/02/2021,Jammu and Kashmir,26634,0,26634
01/02/2021,Jharkhand,48057,0,48057
01/02/2021,Karnataka,316228,0,316228
01/02/2021,Kerala,193925,0,193925
01/02/2021,Ladakh,1234,0,1234
01/02/2021,Lakshadweep,807,0,807
01/02/2021,Madhya Pradesh,298376,0,298376
01/02/2021,Maharashtra,310825,0,310825
01/02/2021,Manipur,4373,0,4373
01/02/2021,Meghalaya,4564,0,4564
01/02/2021,Mizoram,9932,0,9932
01/02/2021,Nagaland,3998,0,3998
01/02/2021,Odisha,207462,0,207462
01/02/2021,Puducherry,2988,0,2988
01/02/2021,Punjab,59285,0,59285
01/02/2021,Rajasthan,333930,0,333930
01/02/2021,Sikkim,2166,0,2166
01/02/2021,Tamil Nadu,112687,0,112687
01/02/2021,Telangana,168771,0,168771
01/02/2021,Tripura,31190,0,31190
01/02/2021,Uttar Pradesh,463793,0,463793
01/02/2021,Uttarakhand,37505,0,37505
01/02/2021,West Bengal,266407,0,266407
01/02/2021,Miscellaneous,54019,0,54019
01/02/2021,Total,3950156,0,3950156
02/02/2021,Andaman and Nicobar Islands,2727,0,2727
02/02/2021,Andhra Pradesh,187252,0,187252
02/02/2021,Arunachal Pradesh,9791,0,9791
02/02/2021,Assam,42435,0,42435
02/02/2021,Bihar,222153,0,222153
02/02/2021,Chandigarh,4019,0,4019
02/02/2021,Chhattisgarh,79676,0,79676
02/02/2021,Dadra and Nagar Haveli and Daman and Diu,1336,0,1336
02/02/2021,Delhi,74068,0,74068
02/02/2021,Goa,5422,0,5422
02/02/2021,Gujarat,287852,0,287852
02/02/2021,Haryana,127893,0,127893
02/02/2021,Himachal Pradesh,39570,0,39570
02/02/2021,Jammu and Kashmir,26634,0,26634
02/02/2021,Jharkhand,55671,0,55671
02/02/2021,Karnataka,316368,0,316368
02/02/2021,Kerala,224846,0,224846
02/02/2021,Ladakh,1234,0,1234
02/02/2021,Lakshadweep,807,0,807
02/02/2021,Madhya Pradesh,298376,0,298376
