Date,Date_YMD,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
26 July 2021,2021-07-26,30820,31440273,42503,30613773,418,420823
27 July 2021,2021-07-27,42971,31483244,41653,30655426,641,421464
28 July 2021,2021-07-28,43165,31526409,38537,30693963,640,422104
29 July 2021,2021-07-29,44671,31571080,42115,30736078,549,422653
30 July 2021,2021-07-30,41499,31612579,37320,30773398,598,423251
31 July 2021,2021-07-31,41943,31654522,39485,30812883,542,423793
1 August 2021,2021-08-01,40629,31695151,36628,30849511,424,424217
2 August 2021,2021-08-02,30085,31725236,39120,30888631,420,424637
3 August 2021,2021-08-03,42530,31767766,36552,30925183,561,425198
4 August 2021,2021-08-04,42797,31810563,41873,30967056,532,425730
5 August 2021,2021-08-05,45005,31855568,40906,31007962,465,426195
6 August 2021,2021-08-06,38705,31894273,40026,31047988,616,426811
7 August 2021,2021-08-07,39068,31933341,43935,31091923,491,427302
8 August 2021,2021-08-08,36036,31969377,39832,31131755,447,427749
9 August 2021,2021-08-09,27428,31996805,41461,31173216,376,428125
10 August 2021,2021-08-10,38376,32035181,40097,31213313,496,428621
11 August 2021,2021-08-11,41586,32076767,39127,31252440,491,429112
